YUG_DESC;Already during World War One in 1917 the founding of a south Slavic state was agreed upon. However Croats Montenegrinians and Slovenians only accepted Alexander I as ruler of the 'Kingdom of the Serbs Croats and Slovenians' under the pressure of Italian threats of annexion. The first constitution of 1921 laid down Serbian predominance so that the various religions and state traditions doomed the first Yugoslavian state. The Croat Farmers' Party boycotted the parliament in Belgrade and demanded a federalisation. Even their inclusion in the government of Nikola Pasic in 1925 could not overcome the differences. In 1928 Stefan Radic and two more delegates of the Farmers' Party were assassinated by a Montenegrinian representative of the Serbian Radical People's Party. King Alexander I suspended the constitution and and introduced a monarchical dictatorship in 1929 that was to enforce integration top down. The renaming of the kingdom into Yugoslavia and the establishment of geographically defined administrative entities (Banats) helped little as the Serbs continued to dominate the political life and as the Croats took radical measures founding the ultra-national Ustasha in 1929. The assassination of King Alexander I in 1934 brought the fragile country to the brink of civil war.;;;;;;;;;;x
YUG;Yugoslavia;;;;;;;;;;X
YES;Yes;;;;;;;;;;X
YEM_DESC;The distance to the seat of the Caliph in Damascus (661) and later in Baghdad (762) provided Yemen in the Arab-Muslim world with a role on the rim. In 822 Yemen began breaking away from the Abbasides Caliphate declaring independence in 945. From there on the northern and southern Yemen began moving apart from each other. The reasons were in part geographical and economical - mountains and agriculture in the north sea trade in the south. Additionally religious and strategic-political issues played a role. In the north Shiites dominated in the south Sunnites. Foreign attempts of taking influence were focused on the strategically more important south with Britain eventually conquering Aden in 1839. The north was left in peace for the most part until the Ottoman Empire took the coast of North Yemen in 1849 and the highlands in 1872 with approval from the British who were intent on containing French expansion on the Red Sea. After World war One and the breaking up of the Ottoman Empire Northern Yemen declared its independence in 1918. The land was ruled by an Imam spiritual and secular leader in one. In 1934 the opposition of the Free Yemenites was formed who would in future become more and more radical.;;;;;;;;;;X
YEM;Yemen;;;;;;;;;;X
WSTRBOMB_SETUP;When we strategically bomb a province.;;;;;;;;;;X
WSTRBOMB_LOG;We bombed %s for %s in damage.;;;;;;;;;;X
WSTRBOMB_HEADER;AIR FORCE BRIEFING%s;;;;;;;;;;X
WSTRBOMB_BTN2;Goto;;;;;;;;;;X
WSTRBOMB_BTN1;OK;;;;;;;;;;X
WSTRBOMB_6;;;;;;;;;;;X
WSTRBOMB_5;;;;;;;;;;;X
WSTRBOMB_4;The enemy has taken %s in damages.;;;;;;;;;;X
WSTRBOMB_3;%s;;;;;;;;;;X
WSTRBOMB_2;%t, our Air Force has commenced a strategic bombing run. Our brave pilots have attacked;;;;;;;;;;X
WSTRBOMB_1;Bombing Mission;;;;;;;;;;X
WRETEXP_SETUP;When you take back an expeditionary force.;;;;;;;;;;X
WRETEXP_LOG;%s has returned control of %s to us.;;;;;;;;;;X
WRETEXP_HEADER;GENERAL STAFF BRIEFING%s;;;;;;;;;;X
WRETEXP_BTN2;Goto;;;;;;;;;;X
WRETEXP_BTN1;OK;;;;;;;;;;X
WRETEXP_6;to us.;;;;;;;;;;X
WRETEXP_5;%s;;;;;;;;;;X
WRETEXP_4;has returned control of;;;;;;;;;;X
WRETEXP_3;%s;;;;;;;;;;X
WRETEXP_2;%t , we have resumed command of our expeditionary force.;;;;;;;;;;X
WRETEXP_1;Expeditionary Force Returns;;;;;;;;;;X
WPINVITPROP_SETUP;When a nation invites you to a War Pact;;;;;;;;;;X
WPINVITPROP_LOG;%s asked that we declare war upon %s;;;;;;;;;;X
WPINVITPROP_HEADER;Herald from;;;;;;;;;;X
WPINVITPROP_BTN2;No way!;;;;;;;;;;X
WPINVITPROP_BTN1;Declare war;;;;;;;;;;X
WPINVITPROP_6;What is your response?;;;;;;;;;;X
WPINVITPROP_5;%s;;;;;;;;;;X
WPINVITPROP_4;against;;;;;;;;;;X
WPINVITPROP_3;war;;;;;;;;;;X
WPINVITPROP_2;%t, %s asks that we join their;;;;;;;;;;X
WPINVITPROP_1;%s;;;;;;;;;;X
VP_TOTAL;Total;;;;;;;;;;X
VP_PEACE;Peace Resolution;;;;;;;;;;X
VP_MISSION;Mission;;;;;;;;;;X
VP_ESTABLISHMENT;Establishment;;;;;;;;;;X
VP_ECONOMY;Economy;;;;;;;;;;X
VP_DISCOVERIES;Discoveries;;;;;;;;;;X
VP_DIPLOMACY;Diplomacy;;;;;;;;;;X
VP_DEATHMATCH;Provinces;;;;;;;;;;X
VP_COUNTRY;Country;;;;;;;;;;X
VP_BATTLE;Battle;;;;;;;;;;X
WORLDMARKET;World Market;;;;;;;;;;x
WM_PRIO;Priority;;;;;;;;;;x
WM_OURS;Own at Top;;;;;;;;;;x
WM_NAME;Amount;;;;;;;;;;x
VICTORYGAME_INFO_HEADER;Victory Progress;;;;;;;;;;X
VICTORYGAME_INFO_5;Current Standing;;;;;;;;;;X
VICTORYGAME_INFO_4;will win this game.;;;;;;;;;;X
VICTORYGAME_INFO_3;%d VICTORY POINTS;;;;;;;;;;X
VICTORYGAME_INFO_2;The nation that first reaches;;;;;;;;;;X
VICTORYGAME_INFO_1;Supremacy;;;;;;;;;;X
VICTORYGAME_HEADER;Game Objective Summary;;;;;;;;;;X
VICTORYGAME_4;will win this game.;;;;;;;;;;X
VICTORYGAME_3;%d VICTORY POINTS;;;;;;;;;;X
VICTORYGAME_2;The nation that first reaches;;;;;;;;;;X
VICTORYGAME_1;Supremacy;;;;;;;;;;X
VIC;Vichy France;;;;;;;;;;X
WHITEPEACEUS_SETUP;When one of your wars reaches a White Peace;;;;;;;;;;X
WHITEPEACEUS_LOG;A White Peace was signed between %s and %s.;;;;;;;;;;X
WHITEPEACEUS_HEADER;FOREIGN POLICY BRIEFING%s;;;;;;;;;;X
WHITEPEACEUS_BTN2;;;;;;;;;;;X
WHITEPEACEUS_BTN1;OK;;;;;;;;;;X
WHITEPEACEUS_6;We are now at peace, no tributes were granted to either side.;;;;;;;;;;X
WHITEPEACEUS_5;%s;;;;;;;;;;X
WHITEPEACEUS_4;and our former enemies;;;;;;;;;;X
WHITEPEACEUS_3;%s;;;;;;;;;;X
WHITEPEACEUS_2;%t after 36 months of inactivity a White Peace was signed between;;;;;;;;;;X
WHITEPEACEUS_1;White Peace!;;;;;;;;;;X
WHITEPEACEOTHER_SETUP;When a White Peace is closed between two other nations;;;;;;;;;;X
WHITEPEACEOTHER_LOG;A White Peace was signed between %s and %s.;;;;;;;;;;X
WHITEPEACEOTHER_HEADER;INTELLIGENCE BRIEFING%s;;;;;;;;;;X
WHITEPEACEOTHER_BTN2;Goto;;;;;;;;;;X
WHITEPEACEOTHER_BTN1;OK;;;;;;;;;;X
WHITEPEACEOTHER_6;They are now at peace, no tributes were granted to either side.;;;;;;;;;;X
WHITEPEACEOTHER_5;%s;;;;;;;;;;X
WHITEPEACEOTHER_4;and their former enemies;;;;;;;;;;X
WHITEPEACEOTHER_3;%s;;;;;;;;;;X
WHITEPEACEOTHER_2;%t after 36 months of inactivity a white peace was signed in the war between;;;;;;;;;;X
WHITEPEACEOTHER_1;White Peace!;;;;;;;;;;X
WGEXP_SETUP;When you send out an expeditionary force.;;;;;;;;;;X
WGEXP_LOG;%s has been lent %s by us.;;;;;;;;;;X
WGEXP_HEADER;GENERAL STAFF BRIEFING%s;;;;;;;;;;X
