gf;Name;Area;Region;Continent;Climate;Terrain;SizeModifier;AirDivisionLimit;Infrastructure;City;Beaches;PortSeazone;IC;Manpower;Oil;Steel;Coal;Rubber;City XPos;City YPos;Army XPos;ArmyYPos;PortXPos;Port YPos;Beach XPos; Beach YPos; Beach Icon;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Fill coord X;Fill coord Y;;;;;;;;;;;;;;;;;;;;;;;;
0;;-;-;-;-;clear;0;;0;0;0;0;0;0;0;0;0;0;9472;3392;9472;3392;9472;3392;9472;3392;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
1;Berings Sea;;;;;ocean;0;;0;0;0;0;0;0;0;0;0;0;19233;416;19233;416;19233;416;19233;416;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;435;343;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
2;Atka;;;America;Arctic;mountain;;;40;;2;3;0;0;0;0;0;0;466;864;491;851;437;898;311;880;11;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;95;1012;145;1020;175;982;164;945;311;882;388;887;474;869;518;799;535;843;581;840;701;739;806;737;-1;-1
3;Aleutian Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;367;911;427;972;367;911;367;911;1;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;458;952;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
4;Vancouver;;;America;Subarctic;clear;;;80;;2;102;5;0;0;0;0;0;2949;620;2908;534;2803;477;986;619;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2962;508;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
5;Spokane;;;America;Subarctic;mountain;;;60;;0;0;1;1;0;0;0;0;3114;820;3154;736;1036;649;1176;525;0;3183;873;2;3198;853;1;3187;855;3;-100;-100;0;3149;790;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
6;Bures;;;America;Subarctic;mountain;;;60;;0;0;0;0;0;0;0;0;3078;1107;3099;1048;1559;362;1614;294;0;3179;990;2;3149;1130;1;3144;1129;6;-100;-100;0;3105;1020;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
7;West Berings Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1228;249;1228;249;1228;249;1228;249;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1299;186;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
8;Dallas;;;America;Mediterranean;clear;;;80;;0;0;15;0;200;0;0;0;4002;1957;3966;1929;1571;317;3911;2075;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;4023;1975;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
9;San Antonio;;;America;Subtropical;desert;;;60;;1;240;10;0;200;0;0;0;3985;2236;3935;2183;1881;98;4054;2354;5;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;4013;2177;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
10;Timmins;;;America;Subarctic;clear;;;60;;0;0;1;0;0;0;0;0;5142;1068;5118;1036;2024;125;5086;1131;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;5175;1070;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
11;Yakutat Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2500;217;2475;250;2500;217;2500;217;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2448;300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
12;Gulf of Alaska;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1733;894;1733;894;1733;894;1733;894;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1666;1046;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
13;Puget Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2534;833;2534;833;2534;833;2534;833;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2465;999;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
14;Aleutian Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;551;1351;551;1351;551;1351;551;1351;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;388;1346;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;
15;North East Pacific Basin;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2131;2209;2131;2209;2131;2209;2131;2209;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1859;2186;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16;West sea of Elice;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;835;2058;835;2058;835;2058;835;2058;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;803;2126;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
17;Midway;;;America;Mediterranean;clear;;;40;;3;18;1;0;0;0;0;0;366;2428;366;2428;399;2448;368;2454;7;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;363;2428;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
18;Sea of Midway North;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;441;2393;441;2393;441;2393;441;2393;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;439;2377;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
19;Sea of Midway East;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;291;2403;291;2403;291;2403;291;2403;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;282;2392;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20;Sea of Midway South;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;374;2509;374;2509;374;2509;374;2509;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;349;2517;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21;Sea of Ellice;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;19026;2510;67;2477;19026;2510;19026;2510;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;150;2568;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
22;Honolulu;;;America;Tropical;clear;;;40;;3;24;3;0;0;0;0;0;1424;2734;1424;2734;1425;2710;1404;2675;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1528;2775;1503;2709;1463;2712;1472;2692;1412;2670;1336;2636;1281;2645;-1;-1;-1;-1
23;Niihau Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;854;2827;854;2827;854;2827;854;2827;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;889;2859;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
24;North Honolulu Islands;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1362;2608;1362;2608;1362;2608;1362;2608;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1397;2611;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
25;West Honolulu Islands;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1605;2755;1605;2755;1605;2755;1605;2755;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1588;2726;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
26;South Honolulu Islands;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1514;2845;1514;2845;1514;2845;1514;2845;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1480;2846;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
27;South West Honolulu Islands;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1322;2733;1322;2733;1322;2733;1322;2733;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1345;2712;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
28;Johnston;;;America;Tropical;clear;;;40;;3;29;1;0;0;0;0;0;920;3246;920;3246;944;3242;907;3264;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;925;3244;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
29;Sea of Johnston North;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;967;3178;967;3178;967;3178;967;3178;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;978;3182;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30;Pacific Basin;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2069;3283;2069;3283;2069;3283;2069;3283;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1817;3327;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
31;Zguinchor ;;;Africa;Tropical;clear;;;30;;0;0;0;0;0;0;0;0;1522;3895;1522;3895;1522;3895;1522;3895;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;8482;3900;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
