country;main color;leader language;ArmyNationalitySprite;END
MIN;Brown;ENG;MIN;X
ENG;LightRed;ENG;ENG;X
FRA;Blue;FRA;FRA;X
GER;Gray;GER;GER;X
HOL;LightYellow;HOL;MIN;X
POR;DarkGreen;POR;MIN;X
ITA;Green;ITA;ITA;X
SOV;DarkRed;SOV;SOV;X
SPA;DarkGray;SPA;MIN;X
SWE;LightBlue;SWE;MIN;X
TUR;LightGreen;TUR;MIN;X
JAP;LightOrange;JAP;JAP;X
CHI;Yellow;CHI;MIN;X
POL;DarkGray;POL;MIN;X
NOR;LightBrown;NOR;MIN;X
BEL;DarkBrown;BEL;MIN;X
DEN;DarkOrange;DEN;MIN;X
SCH;Red;GER;MIN;X
CUB;LightGray;CUB;MIN;X
GRE;LightBlue;ENG;MIN;X
BUL;LightBrown;BUL;MIN;X
YUG;LightYellow;YUG;MIN;X
HUN;DarkYellow;HUN;MIN;X
ROM;DarkOrange;ROM;MIN;X
AUS;Brown;AUS;MIN;X
CZE;DarkGreen;ENG;MIN;X
IRE;LightGreen;IRE;MIN;X
EST;White;EST;MIN;X
LAT;DarkBrown;LAT;MIN;X
LIT;DarkYellow;LIT;MIN;X
FIN;LightGray;FIN;MIN;X
PER;DarkGray;ENG;MIN;X
AFG;White;ENG;MIN;X
BRA;LightBrown;POR;MIN;X
ARG;LightBlue;SPA;MIN;X
MEX;DarkGreen;SPA;MIN;X
COL;DarkYellow;SPA;MIN;X
VEN;LightGreen;SPA;MIN;X
PRU;DarkOrange;SPA;MIN;X
ECU;Brown;SPA;MIN;X
URU;DarkGray;SPA;MIN;X
PAR;White;SPA;MIN;X
BOL;LightGray;SPA;MIN;X
NZL;DarkYellow;NZL;MIN;X
CAN;Red;ENG;MIN;X
AST;LightGray;AST;MIN;X
VIC;White;FRA;MIN;X
MAN;DarkGray;CHI;MIN;X
USA;DarkBlue;USA;USA;X
CHL;DarkGreen;SPA;MIN;X
ETH;Brown;ENG;MIN;X
IND;DarkYellow;ENG;MIN;X
SPR;DarkYellow;SPA;MIN;X
CHC;LightYellow;CHI;MIN;X
KOR;LightGreen;ENG;MIN;X
INO;LightBrown;ENG;MIN;X
CRO;DarkGray;ENG;MIN;X
SLO;LightGreen;ENG;MIN;X
ALB;DarkBrown;ENG;MIN;X
SIA;LightGreen;ENG;MIN;X
SAU;DarkOrange;ENG;MIN;X
MON;DarkYellow;CHI;MIN;X
GUA;LightGray;SPA;MIN;X
COS;White;SPA;MIN;X
NIC;DarkBrown;SPA;MIN;X
DOM;DarkGray;SPA;MIN;X
PHI;DarkBrown;SPA;MIN;X
BHU;Red;ENG;MIN;X
BRU;Red;ENG;MIN;X
EGY;Red;ENG;MIN;X
SAL;DarkGray;ENG;MIN;X
HAI;LightBlue;ENG;MIN;X
HON;LightGreen;SPA;MIN;X
ICL;LightGray;ENG;MIN;X
IRQ;Red;ENG;MIN;X
JOR;DarkGreen;ENG;MIN;X
LEB;LightGray;ENG;MIN;X
LIB;LightGray;ENG;MIN;X
LUX;LightBrown;ENG;MIN;X
MTN;LightGreen;ENG;MIN;X
NEP;Red;ENG;MIN;X
OMN;LightBrown;ENG;MIN;X
PAN;LightGray;SPA;MIN;X
SAR;DarkOrange;ENG;MIN;X
SER;LightGray;ENG;MIN;X
SIK;Brown;CHI;MIN;X
SAF;Red;ENG;MIN;X
SYR;LightYellow;ENG;MIN;X
TAN;DarkBrown;ENG;MIN;X
TIB;LightGray;ENG;MIN;X
YEM;LightGray;ENG;MIN;X
ALG;LightYellow;ENG;MIN;X
ARM;Brown;ENG;MIN;X
AZB;DarkOrange;ENG;MIN;X
BUR;DarkGreen;ENG;MIN;X
BLR;White;ENG;MIN;X
GEO;DarkGreen;ENG;MIN;X
IDC;LightBlue;ENG;MIN;X
KAZ;LightBrown;SOV;MIN;X
KYG;DarkGreen;ENG;MIN;X
LBY;LightGreen;ENG;MIN;X
MLY;Brown;ENG;MIN;X
MOR;DarkOrange;ENG;MIN;X
PAL;LightBrown;ENG;MIN;X
RUS;Red;SOV;MIN;X
SIB;LightGray;SOV;MIN;X
SLV;LightBrown;ENG;MIN;X
TAJ;DarkOrange;SOV;MIN;X
TUN;Brown;ENG;MIN;X
TRK;DarkBrown;ENG;MIN;X
UKR;Brown;SOV;MIN;X
UZB;LightGreen;ENG;MIN;X
U00;LightRed;POL;MIN;X
U01;DarkOrange;ENG;MIN;X
U02;DarkYellow;ENG;MIN;X
U03;DarkGreen;ENG;MIN;X
U04;Brown;ENG;MIN;X
U05;White;ENG;MIN;X
U06;Red;ENG;MIN;X
U07;LightYellow;ENG;MIN;X
U08;LightBrown;ENG;MIN;X
U09;LightGray;ENG;MIN;X
U10;LightGreen;ENG;MIN;X
U11;LightBlue;ENG;MIN;X
U12;Blue;ENG;MIN;X
U13;DarkBlue;ENG;MIN;X
U14;DarkRed;ENG;MIN;X
U15;Gray;ENG;MIN;X
U16;Green;ENG;MIN;X
U17;LightRed;ENG;MIN;X
U18;LightOrange;ENG;MIN;X
U19;Yellow;ENG;MIN;X
END;DarkBrown;ENG;MIN;X
