NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Allen;54000;AST;3;0;1;0;5;0;unknown;x
Anderson;54001;AST;2;0;1;0;5;0;unknown;x
Beavis;54002;AST;1;0;2;0;5;0;unknown;x
Bennett;54003;AST;3;0;2;0;5;0;unknown;x
Berryman;54004;AST;1;0;2;0;5;0;unknown;x
Blamey;54005;AST;0;0;3;0;5;0;unknown;x
Boase;54006;AST;3;0;2;0;5;0;unknown;x
Bridgeford;54007;AST;3;0;1;0;5;0;unknown;x
Callaghan;54008;AST;3;0;1;0;5;0;unknown;x
Cannan;54009;AST;3;0;1;0;5;0;unknown;x
Carr;54010;AST;2;0;2;0;5;0;unknown;x
Clowes;54011;AST;3;0;1;0;5;0;unknown;x
Eather;54012;AST;3;0;1;0;5;0;unknown;x
Herring;54013;AST;3;0;2;0;5;0;unknown;x
King;54014;AST;3;0;1;0;5;0;unknown;x
Lavareck;54015;AST;1;0;2;0;5;0;unknown;x
Lloyd;54016;AST;3;0;1;0;5;0;unknown;x
Mackay;54017;AST;1;0;2;0;5;0;unknown;x
Melford;54018;AST;3;0;1;0;5;0;unknown;x
Morshead;54019;AST;1;0;2;0;5;0;unknown;x
Northcott;54020;AST;2;0;2;0;5;0;unknown;x
Plant;54021;AST;1;0;2;0;5;0;unknown;x
Ramsay;54022;AST;3;0;1;0;5;0;unknown;x
Robertson;54023;AST;3;0;2;0;5;0;unknown;x
Rowell;54024;AST;2;0;2;0;5;0;unknown;x
Savige;54025;AST;2;0;1;0;5;0;unknown;x
Smart;54026;AST;1;0;2;0;5;0;unknown;x
Steele;54027;AST;3;0;1;0;5;0;unknown;x
Stevens;54028;AST;3;0;1;0;5;0;unknown;x
Sturdee;54029;AST;3;0;2;0;5;0;unknown;x
Vasey;54030;AST;3;0;1;0;5;0;unknown;x
Wootten;54031;AST;3;0;1;0;5;0;unknown;x
Wynter;54032;AST;2;0;2;0;5;0;unknown;x
Royle;54033;AST;1;0;2;0;5;1;unknown;x
Grace;54034;AST;3;0;1;0;5;1;unknown;x
