NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Cavalcanti;31000;BRA;2;0;1;0;3;0;unknown;x
Coelho Neto;31001;BRA;3;0;1;0;4;0;unknown;x
Cordeiro de Farias;31002;BRA;1;0;2;0;5;0;unknown;x
dos Santos;31003;BRA;3;0;1;0;3;0;unknown;x
Falconeieri da Cunha;31004;BRA;3;0;1;0;4;0;unknown;x
Leitão de Carvalho;31005;BRA;2;0;1;0;3;0;unknown;x
Mascarenhas de Morais;31006;BRA;2;0;2;0;4;0;unknown;x
Pereira da Costa;31007;BRA;2;0;1;0;3;0;unknown;x
Silvestre de Melo;31008;BRA;2;0;1;0;3;0;unknown;x
Zenóbio da Costa;31009;BRA;2;0;2;0;4;0;unknown;x
