NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Ayrianov;34000;BUL;0;0;3;0;4;2;unknown;x
Balarev;34001;BUL;0;0;2;0;4;0;unknown;x
Bogdanov;34002;BUL;3;0;1;0;3;0;unknown;x
Boydev;34003;BUL;2;0;1;0;3;0;unknown;x
Karov;34004;BUL;3;0;1;0;3;0;unknown;x
Kovachev;34005;BUL;3;0;1;0;2;0;unknown;x
Marinov;34006;BUL;0;0;2;0;3;0;unknown;x
Markov;34007;BUL;2;0;1;0;3;0;unknown;x
Mihov;34008;BUL;2;0;1;0;4;0;unknown;x
Murnov;34009;BUL;2;0;1;0;5;0;unknown;x
Nakov;34010;BUL;2;0;1;0;3;0;unknown;x
Nikolov;34011;BUL;2;0;1;0;5;0;unknown;x
Popbozhilov;34012;BUL;3;0;1;0;2;0;unknown;x
Popdimtrov;34013;BUL;3;0;1;0;3;0;unknown;x
Radev;34014;BUL;2;0;2;0;4;0;unknown;x
Russev;34015;BUL;3;0;1;0;3;0;unknown;x
Serafimov;34016;BUL;3;0;1;0;4;0;unknown;x
Sirakov;34017;BUL;2;0;2;0;3;0;unknown;x
Stanchev;34018;BUL;1;0;2;0;4;0;unknown;x
Stefanov;34019;BUL;2;0;1;0;3;0;unknown;x
Stoyanov;34020;BUL;3;0;1;0;3;0;unknown;x
Stoychev;34021;BUL;2;0;1;0;2;0;unknown;x
Trifonov;34022;BUL;3;0;1;0;2;0;unknown;x
Yanchev;34023;BUL;3;0;1;0;2;0;unknown;x
