NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Alexander;52000;CAN;1;0;2;0;5;0;unknown;x
Burns;52001;CAN;3;0;3;0;5;0;unknown;x
Constantine;52002;CAN;3;0;1;0;5;0;unknown;x
Crerar;52003;CAN;1;0;3;0;5;0;crerar_henry_can;x
Elkins;52004;CAN;2;0;1;0;5;0;unknown;x
Foster;52005;CAN;3;0;1;0;5;0;unknown;x
Foulkes;52006;CAN;3;0;2;0;5;0;unknown;x
Ganong;52007;CAN;3;0;1;0;5;0;unknown;x
Hertzberg;52008;CAN;3;0;1;0;5;0;unknown;x
Hoffmeister;52009;CAN;3;0;2;0;5;0;unknown;x
Keefler;52010;CAN;3;0;1;0;5;0;unknown;x
Keller;52011;CAN;3;0;1;0;5;0;unknown;x
Kitching;52012;CAN;3;0;2;0;5;0;unknown;x
Leclerc;52013;CAN;3;0;2;0;5;0;unknown;x
Letson;52014;CAN;1;0;2;0;5;0;unknown;x
McNaughton;52015;CAN;1;0;3;0;5;0;unknown;x
Matthews;52016;CAN;3;0;1;0;5;0;unknown;x
Montagne;52017;CAN;3;0;1;0;5;0;unknown;x
Murchie;52018;CAN;1;0;2;0;5;0;unknown;x
Odlum;52019;CAN;3;0;2;0;5;0;unknown;x
Page;52020;CAN;3;0;2;0;5;0;unknown;x
Pearkes;52021;CAN;3;0;2;0;5;0;unknown;x
Phelan;52022;CAN;3;0;1;0;5;0;unknown;x
Pope;52023;CAN;1;0;2;0;5;0;unknown;x
Potts;52024;CAN;3;0;1;0;5;0;unknown;x
Price;52025;CAN;3;0;1;0;5;0;unknown;x
Roberts;52026;CAN;2;0;2;0;5;0;unknown;x
Salmon;52027;CAN;3;0;1;0;5;0;unknown;x
Sansom;52028;CAN;3;0;2;0;5;0;unknown;x
Simonds;52029;CAN;3;0;3;0;5;0;unknown;x
Spry;52030;CAN;3;0;1;0;5;0;unknown;x
Stein;52031;CAN;3;0;1;0;5;0;unknown;x
Stuart;52032;CAN;1;0;3;0;5;0;unknown;x
Turner;52033;CAN;3;0;1;0;5;0;unknown;x
Vanier;52034;CAN;1;0;2;0;5;0;unknown;x
Vokes;52035;CAN;3;0;2;0;5;0;unknown;x
White;52036;CAN;2;0;2;0;5;0;unknown;x
Worthington;52037;CAN;3;0;2;0;5;0;unknown;x
Young;52038;CAN;3;0;1;0;5;0;unknown;x
Nelles;52039;CAN;1;0;2;0;5;1;unknown;x
