NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
An En-pu;50000;CHI;2;0;1;0;4;0;unknown;x
Chang Chen;50001;CHI;1;0;2;0;4;0;unknown;x
Chang Fa-Kuei;50002;CHI;1;0;2;0;4;0;unknown;x
Chang Chung;50003;CHI;2;0;1;0;4;0;unknown;x
Chang Hsüeh-liang;50004;CHI;1;0;1;0;4;0;unknown;x
Chang Kan;50005;CHI;2;0;1;0;4;0;unknown;x
Chang Jui-kuei;50006;CHI;2;0;1;0;4;0;unknown;x
Chang Ling-fu;50007;CHI;3;0;1;0;4;0;unknown;x
Chang Ta;50008;CHI;3;0;1;0;4;0;unknown;x
Chang Tse-chung;50009;CHI;2;0;1;0;4;0;unknown;x
Chang Yi-shun;50010;CHI;2;0;1;0;4;0;unknown;x
Chang Yin-wu;50011;CHI;3;0;1;0;4;0;unknown;x
Chao Cheng-shou;50012;CHI;2;0;1;0;4;0;unknown;x
Chao Shou-shan;50013;CHI;2;0;1;0;4;0;unknown;x
Chen An-pao;50014;CHI;2;0;1;0;4;0;unknown;x
Chen Chang-chieh;50015;CHI;2;0;1;0;4;0;unknown;x
Chen Cheng;50016;CHI;1;0;2;0;4;0;unknown;x
Chen Chi;50017;CHI;2;0;1;0;4;0;unknown;x
Chen Li-wu;50018;CHI;3;0;1;0;4;0;unknown;x
Chen Ming-jen;50019;CHI;1;0;1;0;4;0;unknown;x
Chen Tieh;50020;CHI;2;0;1;0;4;0;unknown;x
Chen Wan-jen;50021;CHI;2;0;1;0;4;0;unknown;x
Chen Yi;50022;CHI;3;0;1;0;4;0;unknown;x
Chiang Kai-Shek;50023;CHI;0;0;3;0;4;0;kai-shek_chiang3_chn;x
Chiang Ting-wen;50024;CHI;3;0;1;0;4;0;unknown;x
Chih Feng-cheng;50025;CHI;3;0;1;0;4;0;unknown;x
Chin Hsien-chang;50026;CHI;3;0;1;0;4;0;unknown;x
Chin Lien-fang;50027;CHI;2;0;1;0;4;0;unknown;x
Chu Huai-ping;50028;CHI;2;0;1;0;4;0;unknown;x
Chu Shao-liang;50029;CHI;1;0;2;0;4;0;unknown;x
Chuo Fu-cheng;50030;CHI;2;0;1;0;4;0;unknown;x
Fan Han-chieh;50031;CHI;2;0;2;0;4;0;unknown;x
Fan Sung-pu;50032;CHI;3;0;1;0;4;0;unknown;x
Feng An-pang;50033;CHI;2;0;1;0;4;0;unknown;x
Feng Chih-an;50034;CHI;2;0;1;0;4;0;unknown;x
Fu Tso-yi;50035;CHI;1;0;2;0;4;0;unknown;x
Han Chuan-pu;50036;CHI;2;0;1;0;4;0;unknown;x
Han Teh-chin;50037;CHI;2;0;1;0;4;0;unknown;x
Ho Chu-Kuo;50038;CHI;2;0;1;0;4;0;unknown;x
Ho Ying-Chin;50039;CHI;1;0;2;0;4;0;ho_ying-chin_chn;x
Hsia Chu-chung;50040;CHI;2;0;1;0;4;0;unknown;x
Hsia Wei;50041;CHI;3;0;1;0;4;0;unknown;x
Hsu Yung-Chang;50042;CHI;1;0;2;0;4;0;unknown;x
Hsua Shou-hsun;50043;CHI;2;0;1;0;4;0;unknown;x
Hsuan Tieh-wu;50044;CHI;2;0;1;0;4;0;unknown;x
Hsueh Yueh;50045;CHI;1;0;2;0;4;0;unknown;x
Huo Kuei-chang;50046;CHI;2;0;1;0;4;0;unknown;x
Kan Li-chu;50047;CHI;1;0;2;0;4;0;unknown;x
Kao Kuei-tse;50048;CHI;2;0;1;0;4;0;unknown;x
Kao Shuang-cheng;50049;CHI;2;0;1;0;4;0;unknown;x
Ku Chu-tung;50050;CHI;1;0;2;0;4;0;unknown;x
Kung Ling-hsun;50051;CHI;2;0;1;0;4;0;unknown;x
Kuo Chi-chiao;50052;CHI;2;0;1;0;4;0;unknown;x
Kuo Hsun-chi;50053;CHI;2;0;1;0;4;0;unknown;x
Kuo Tsung-fen;50054;CHI;3;0;1;0;4;0;unknown;x
Li Chen-chiu;50055;CHI;2;0;1;0;4;0;unknown;x
Li Chia-yu;50056;CHI;2;0;1;0;4;0;unknown;x
Li Chueh;50057;CHI;2;0;1;0;4;0;unknown;x
Li Hsing-chung;50058;CHI;2;0;1;0;4;0;unknown;x
Li Pin-hsien;50059;CHI;1;0;1;0;4;0;unknown;x
Li Tieh-chun;50060;CHI;2;0;1;0;4;0;unknown;x
Li Tsung-jen;50061;CHI;1;0;2;0;4;0;unknown;x
Li Wen;50062;CHI;2;0;1;0;4;0;unknown;x
Li Yu-tang;50063;CHI;2;0;1;0;4;0;unknown;x
Liao Chen;50064;CHI;2;0;1;0;4;0;unknown;x
Liao Lei;50065;CHI;3;0;1;0;4;0;unknown;x
Liao Yao-hsiang;50066;CHI;1;0;2;0;4;0;unknown;x
Liu Chien-hsu;50067;CHI;3;0;1;0;4;0;unknown;x
Liu Chih;50068;CHI;3;0;1;0;4;0;unknown;x
Liu Ho-ting;50069;CHI;2;0;1;0;4;0;unknown;x
Liu Ju-ming;50070;CHI;2;0;1;0;4;0;unknown;x
Liu Kan;50071;CHI;2;0;1;0;4;0;unknown;x
Liu Mao-en;50072;CHI;2;0;1;0;4;0;unknown;x
Liu Tuo-chuan;50073;CHI;2;0;1;0;4;0;unknown;x
Liu Wen-hui;50074;CHI;1;0;2;0;4;0;unknown;x
Liu Ying-ku;50075;CHI;2;0;1;0;4;0;unknown;x
Lo Cho-ying;50076;CHI;3;0;1;0;4;0;unknown;x
Lu Han;50077;CHI;1;0;2;0;4;0;unknown;x
Lu Ta-chang;50078;CHI;2;0;1;0;4;0;unknown;x
Lung Yun;50079;CHI;3;0;1;0;4;0;unknown;x
Ma Chen-shan;50080;CHI;2;0;1;0;4;0;unknown;x
Ma Hung-kuei;50081;CHI;3;0;1;0;4;0;unknown;x
Ma Hung-pin;50082;CHI;3;0;1;0;4;0;unknown;x
Ma Pu-chung;50083;CHI;2;0;1;0;4;0;unknown;x
Ma Pu-Fang;50084;CHI;2;0;1;0;4;0;unknown;x
Men Ping-yueh;50085;CHI;2;0;1;0;4;0;unknown;x
Miao Cheng-liu;50086;CHI;2;0;1;0;4;0;unknown;x
Mo Yu-shuo;50087;CHI;3;0;1;0;4;0;unknown;x
Ou Chen;50088;CHI;2;0;1;0;4;0;unknown;x
Pai Chung-hsi;50089;CHI;1;0;2;0;4;0;unknown;x
Pang Ping-hsun;50090;CHI;2;0;1;0;4;0;unknown;x
Pen Yu-Pin;50091;CHI;3;0;1;0;4;0;unknown;x
Peng Wei-jen;50092;CHI;2;0;1;0;4;0;unknown;x
Shang Chen;50093;CHI;3;0;1;0;4;0;unknown;x
Shangkuan Yun-hsiang;50094;CHI;3;0;1;0;4;0;unknown;x
Shih Yu-suan;50095;CHI;2;0;1;0;4;0;unknown;x
Sun Kuei-yuan;50096;CHI;2;0;1;0;4;0;unknown;x
Sun Li-jen;50097;CHI;1;0;2;0;4;0;unknown;x
Sun Lien-chung;50098;CHI;3;0;1;0;4;0;unknown;x
Sun Tien-ying;50099;CHI;1;0;2;0;4;0;unknown;x
Sun Tung-hsuan;50100;CHI;3;0;1;0;4;0;unknown;x
Sun Wei-ju;50101;CHI;3;0;1;0;4;0;unknown;x
Sung Che-yuan;50102;CHI;1;0;1;0;4;0;unknown;x
Sung Tu;50103;CHI;2;0;1;0;4;0;unknown;x
