Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Lin Biao;76300;CHC;3;0;1;0;3;0;unknown;x
Peng Dehuai;76301;CHC;2;0;2;0;3;0;unknown;x
Deng Xiaoping;76302;CHC;1;0;1;0;3;0;unknown;x
Mao Zedong;76303;CHC;0;0;2;0;5;0;tse-tung_mao_chc;x
Ye Jianying;76304;CHC;2;0;1;0;4;0;unknown;x
He Long;76305;CHC;2;0;2;0;3;0;unknown;x
Liu Bocheng;76306;CHC;3;0;3;0;4;0;unknown;x
Luo Ronghuan;76307;CHC;3;0;1;0;4;0;unknown;x
Xu Xiangqian;76308;CHC;2;0;1;0;4;0;unknown;x
Nie Rongzhen;76309;CHC;3;32;2;0;4;0;unknown;x
Chen Yi;76310;CHC;1;16;2;0;4;0;unknown;x
Zhu De;76311;CHC;1;0;3;0;4;0;unknown;x
Chu Teh;76312;CHC;0;0;3;0;4;0;unknown;x
Li Xiannian;76313;CHC;1;0;1;0;4;0;unknown;x
