NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Ajanovic;44600;CRO;3;0;1;0;5;0;unknown;x
Blaskovics;44601;CRO;3;0;1;0;2;0;unknown;x
Boban;44602;CRO;1;0;2;0;4;0;unknown;x
Canic;44603;CRO;3;0;1;0;3;0;unknown;x
Cesaric;44604;CRO;3;0;1;0;3;0;unknown;x
Desovic;44605;CRO;3;0;1;0;3;0;unknown;x
Dolacki;44606;CRO;3;0;1;0;4;0;unknown;x
Domanik;44607;CRO;3;0;1;0;3;0;unknown;x
Fritz;44608;CRO;3;0;1;0;3;0;unknown;x
Greguric;44609;CRO;3;0;1;0;5;0;unknown;x
Grlic;44610;CRO;3;0;1;0;4;0;unknown;x
Gruic;44611;CRO;1;0;2;0;5;0;unknown;x
Gustovic;44612;CRO;3;0;1;0;4;0;unknown;x
Hromic;44613;CRO;2;0;1;0;5;0;unknown;x
Klaic;44614;CRO;2;0;1;0;3;0;unknown;x
Kopacin;44615;CRO;3;0;1;0;2;0;unknown;x
Kvarternik;44616;CRO;0;0;2;0;4;0;unknown;x
Laxa;44617;CRO;1;0;2;0;4;0;unknown;x
Luburic;44618;CRO;1;0;1;0;3;0;unknown;x
Lukic;44619;CRO;1;0;2;0;3;0;unknown;x
Majetic;44620;CRO;3;0;1;0;2;0;unknown;x
Markulj;44621;CRO;3;0;1;0;3;0;unknown;x
Matagic;44622;CRO;3;0;1;0;3;0;unknown;x
Metikos;44623;CRO;3;0;1;0;4;0;unknown;x
Metzger;44624;CRO;3;0;1;0;5;0;unknown;x
Mifek;44625;CRO;3;0;1;0;5;0;unknown;x
Moskov;44626;CRO;2;0;1;0;3;0;unknown;x
Murkovic;44627;CRO;3;0;1;0;3;0;unknown;x
Nardelli;44628;CRO;3;0;1;0;5;0;unknown;x
Nikolic;44629;CRO;3;0;1;0;3;0;unknown;x
Pacak;44630;CRO;3;0;1;0;3;0;unknown;x
Pericic;44631;CRO;3;0;1;0;2;0;unknown;x
Prebeg;44632;CRO;1;0;2;0;5;0;unknown;x
Prohaska;44633;CRO;3;0;1;0;3;0;unknown;x
Radl;44634;CRO;3;0;1;0;2;0;unknown;x
Sarnbek;44635;CRO;3;0;1;0;3;0;unknown;x
Sertic;44636;CRO;1;0;2;0;4;0;unknown;x
Snur;44637;CRO;3;0;1;0;3;0;unknown;x
Solc;44638;CRO;3;0;1;0;3;0;unknown;x
Stimakovic;44639;CRO;3;0;1;0;4;0;unknown;x
Tomasevic;44640;CRO;2;0;1;0;4;0;unknown;x
Zorn;44641;CRO;3;0;1;0;2;0;unknown;x
