Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Benda;18000;CZE;3;0;1;0;3;0;unknown;x
Benes;18001;CZE;3;0;1;0;3;0;unknown;x
Beranek;18002;CZE;3;0;1;0;3;0;unknown;x
Bily;18003;CZE;3;0;1;0;3;0;unknown;x
Birula;18004;CZE;3;0;1;0;3;0;unknown;x
Blaha;18005;CZE;3;0;1;0;3;0;unknown;x
Cihak;18006;CZE;3;0;1;0;3;0;unknown;x
Dvorak;18007;CZE;3;0;2;0;3;0;unknown;x
Elias;18008;CZE;2;0;1;0;3;0;unknown;x
Eminger;18009;CZE;3;0;2;0;3;0;unknown;x
Fassati;18010;CZE;3;0;1;0;3;0;unknown;x
Fiala;18011;CZE;3;0;1;0;3;0;unknown;x
Fisera;18012;CZE;3;0;2;0;3;0;unknown;x
Hasal;18013;CZE;3;0;1;0;3;0;unknown;x
Hnevkovsky;18014;CZE;3;0;1;0;3;0;unknown;x
Hosek;18015;CZE;3;0;1;0;3;0;unknown;x
Hudecek;18016;CZE;2;0;1;0;3;0;unknown;x
Ingr;18017;CZE;0;0;1;0;3;0;ingr_sergei_cze;x
Janacek;18018;CZE;2;0;1;0;3;0;unknown;x
Jelinek;18019;CZE;3;0;1;0;3;0;unknown;x
Kravak;18020;CZE;3;0;1;0;3;0;unknown;x
Kloud;18021;CZE;3;0;1;0;3;0;unknown;x
Klubal;18022;CZE;3;0;1;0;3;0;unknown;x
Koutnak;18023;CZE;3;0;2;0;3;0;unknown;x
Kravak;18024;CZE;3;0;1;0;3;0;unknown;x
Kukacka;18025;CZE;3;0;1;0;3;0;unknown;x
Luza;18026;CZE;2;0;1;0;3;0;unknown;x
Linhart;18027;CZE;3;0;1;0;3;0;unknown;x
Machacik;18028;CZE;3;0;1;0;3;0;unknown;x
Manek;18029;CZE;2;0;1;0;3;0;unknown;x
Frantisek;18030;CZE;3;0;1;0;3;0;unknown;x
Mezl;18031;CZE;3;0;1;0;3;0;unknown;x
Petrik;18032;CZE;3;0;1;0;3;0;unknown;x
Pozdisek;18033;CZE;3;0;1;0;3;0;unknown;x
Prchala;18034;CZE;2;0;1;0;3;0;unknown;x
Sidlik;18035;CZE;3;0;1;0;3;0;unknown;x
Sipek;18036;CZE;2;0;1;0;3;0;unknown;x
Tallavania;18037;CZE;3;0;1;0;3;0;unknown;x
Vana;18038;CZE;3;0;1;0;3;0;unknown;x
Viest;18039;CZE;3;0;1;0;3;0;viest_rudolf_cze;x
Vojcechosky;18040;CZE;2;0;1;0;3;0;unknown;x
Votruba;18041;CZE;2;0;1;0;3;0;unknown;x
Vseticka;18042;CZE;3;0;1;0;3;0;unknown;x
Zahalka;18043;CZE;3;0;1;0;3;0;unknown;x
Zmek;18044;CZE;3;0;1;0;3;0;unknown;x
