Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Able-Smith;1268;ENG;3;0;2;0;5;1;unknown;x
Adair;1001;ENG;3;0;2;0;5;0;unknown;x
Adam;1002;ENG;3;512;2;0;5;0;unknown;x
Agnew;1269;ENG;3;0;2;0;5;1;unknown;x
Aizlwood;1003;ENG;3;0;2;0;5;0;unknown;x
Alanbrooke;1004;ENG;3;0;3;0;5;0;brooke_alan2_eng;x
Alexander;1005;ENG;3;0;3;0;5;0;alexander_harold_eng;x
Allfrey;1006;ENG;3;0;2;0;5;0;unknown;x
Anderson, D.F.;1007;ENG;3;0;2;0;5;0;unknown;x
Anderson, K.A.N.;1008;ENG;3;0;2;0;5;0;anderson_kenneth_eng;x
Arbouthnot;1270;ENG;3;0;2;0;5;1;unknown;x
Arbuthnott;1009;ENG;3;0;2;0;5;0;unknown;x
Auchinleck;1010;ENG;2;2;3;0;5;0;auchinleck_claude3_eng;x
Back;1272;ENG;3;0;2;0;5;1;unknown;x
Baillon;1011;ENG;2;0;2;0;5;0;unknown;x
Baird;1012;ENG;2;0;2;0;5;0;unknown;x
Baldwin;1349;ENG;3;65536;3;0;5;2;unknown;x
Banks;1271;ENG;3;0;2;0;5;1;unknown;x
Barber;1013;ENG;3;0;2;0;5;0;unknown;x
Barker, E.H.;1014;ENG;3;0;2;0;5;0;unknown;x
Barker, M.G.H.;1015;ENG;2;0;2;0;5;0;unknown;x
Barstow;1016;ENG;2;0;2;0;5;0;unknown;x
Beauman;1017;ENG;3;512;2;0;5;0;unknown;x
Beck;1018;ENG;3;512;2;0;5;0;unknown;x
Beckwith-Smith;1019;ENG;3;0;2;0;5;0;unknown;x
Beidge;1273;ENG;3;0;2;0;5;1;unknown;x
Bennet;1350;ENG;3;0;2;0;5;2;bennet_donald_eng;x
Benson;1274;ENG;3;0;2;0;5;1;unknown;x
Beresford-Peirse;1020;ENG;3;0;2;0;5;0;unknown;x
Berney-Ficklin;1021;ENG;3;0;2;0;5;0;unknown;x
Bethell;1275;ENG;3;0;2;0;5;1;unknown;x
Birks;1022;ENG;3;0;2;0;5;0;unknown;x
Bisset;1277;ENG;3;0;2;0;5;1;unknown;x
Blackman;1418;ENG;3;0;2;0;5;1;unknown;x
Blagrovan;1276;ENG;3;0;2;0;5;1;unknown;x
Blakiston-Houston;1023;ENG;3;512;2;0;5;0;unknown;x
Blaxland;1024;ENG;3;0;2;0;5;0;unknown;x
Blount;1351;ENG;3;0;2;0;5;2;unknown;x
Blucke;1352;ENG;3;0;2;0;5;2;unknown;x
Bols;1025;ENG;3;0;2;0;5;0;unknown;x
Bond;1026;ENG;2;512;2;0;5;0;unknown;x
Bottomley;1353;ENG;3;0;2;0;5;2;unknown;x
Boucher;1027;ENG;3;0;2;0;5;0;unknown;x
Boyd;1278;ENG;3;0;2;0;5;1;unknown;x
Bradshaw;1028;ENG;3;0;2;0;5;0;unknown;x
Brand;1354;ENG;3;0;2;0;5;2;unknown;x
Breen;1355;ENG;3;0;2;0;5;2;unknown;x
Brewer;1279;ENG;3;0;2;0;5;1;unknown;x
Briggs, H.;1029;ENG;3;0;2;0;5;0;unknown;x
Briggs, R.;1030;ENG;3;0;2;0;5;0;unknown;x
Brind;1031;ENG;2;512;2;0;5;0;unknown;x
Broad;1032;ENG;2;512;2;0;5;0;unknown;x
Broadhurst;1356;ENG;3;0;2;0;5;2;broadhurst_harry_eng;x
Brown;1357;ENG;2;0;2;0;5;2;unknown;x
Browning;1033;ENG;3;256;2;0;5;0;unknown;x
Brownrigg;1034;ENG;3;512;2;0;5;0;unknown;x
Bruce;1035;ENG;3;0;2;0;5;0;fraser_bruce2_eng;x
Bucknall;1036;ENG;3;0;2;0;5;0;unknown;x
Bullen-Smith;1037;ENG;3;0;2;0;5;0;unknown;x
Burnett;1280;ENG;3;0;2;0;5;1;unknown;x
Burrows;1038;ENG;3;0;2;0;5;0;unknown;x
Butler;1039;ENG;3;512;2;0;5;0;unknown;x
Cadaux-Hudson;1040;ENG;3;0;2;0;5;0;unknown;x
Callaway;1358;ENG;3;0;2;0;5;2;unknown;x
Callendar;1041;ENG;3;0;2;0;5;0;unknown;x
Callishaw;1359;ENG;2;0;2;0;5;2;unknown;x
Campell;1042;ENG;3;0;2;0;5;0;unknown;x
Carne;1281;ENG;3;0;2;0;5;1;unknown;x
Carpenter;1043;ENG;3;0;2;0;5;0;unknown;x
Carr;1044;ENG;2;512;2;0;5;0;unknown;x
Carr;1360;ENG;3;0;2;0;5;2;unknown;x
Carrignton;1045;ENG;2;512;2;0;5;0;unknown;x
Carter;1361;ENG;3;0;2;0;5;2;unknown;x
Carton de Wiart;1046;ENG;3;512;2;0;5;0;dewiart_carton_eng;x
Casey;1282;ENG;3;0;2;0;5;1;unknown;x
Caslon;1283;ENG;3;0;2;0;5;1;unknown;x
Cassels, J.;1047;ENG;3;0;2;0;5;0;unknown;x
Cassels, R.A.;1048;ENG;1;512;2;0;5;0;unknown;x
Chambers;1049;ENG;3;0;2;0;5;0;unknown;x
Champion de Crespigny;1362;ENG;2;0;2;0;5;2;unknown;x
Christison;1050;ENG;3;0;2;0;5;0;unknown;x
Clark;1051;ENG;3;512;2;0;5;0;unknown;x
Clutterbuck;1052;ENG;3;0;2;0;5;0;unknown;x
Cochrane;1363;ENG;3;0;2;0;5;2;unknown;x
Coleridge;1053;ENG;2;0;2;0;5;0;unknown;x
Collier;1054;ENG;2;512;2;0;5;0;unknown;x
Collins;1055;ENG;3;512;2;0;5;0;unknown;x
Collinson;1284;ENG;3;0;2;0;5;1;unknown;x
Combe;1056;ENG;3;0;2;0;5;0;unknown;x
Conningham;1364;ENG;3;0;2;0;5;2;coningham_arthur2_eng;x
Constantine;1365;ENG;3;0;2;0;5;2;unknown;x
Coote;1367;ENG;3;0;2;0;5;2;unknown;x
Corbett;1057;ENG;2;0;2;0;5;0;unknown;x
Coryton;1366;ENG;3;0;2;0;5;2;unknown;x
Cotterill-Hill;1058;ENG;3;0;2;0;5;0;cotter-hill_eng;x
Cowan;1059;ENG;3;0;2;0;5;0;unknown;x
Cox;1060;ENG;3;0;2;0;5;0;unknown;x
Creagh;1061;ENG;3;512;2;0;5;0;unknown;x
Creasy;1285;ENG;3;0;2;0;5;1;unknown;x
Creswell;1286;ENG;3;0;2;0;5;1;unknown;x
Crocker;1062;ENG;3;0;2;0;5;0;unknown;x
Crowther;1063;ENG;3;0;2;0;5;0;unknown;x
Cunningham;1064;ENG;3;0;2;0;5;0;cunningham_allan2_eng;x
Cunningham, A.B.;1287;ENG;1;0;5;4096;5;1;cunningham_andrew3_eng;x
Cunningham, J.H.D.;1288;ENG;3;0;2;0;5;1;cunningham_john-henry_eng;x
Curtis;1065;ENG;3;0;2;0;5;0;curtis_henry_eng;x
D'Albiac;1368;ENG;3;0;2;0;5;2;unknown;x
Dalby;1066;ENG;3;512;2;0;5;0;unknown;x
Daniel;1289;ENG;3;0;2;0;5;1;unknown;x
D'Arcy;1067;ENG;3;0;2;0;5;0;unknown;x
Davies;1068;ENG;3;0;2;0;5;0;unknown;x
Deeds,;1069;ENG;3;512;1;0;5;0;unknown;x
Dempsey;1070;ENG;3;0;3;0;5;0;dempsey_miles3_eng;x
Dicken;1291;ENG;3;0;2;0;5;1;unknown;x
Dill;1071;ENG;2;0;3;0;5;0;dill_john_eng;x
Dimoline;1072;ENG;3;0;2;0;5;0;unknown;x
Dobbie;1073;ENG;2;0;2;0;5;0;unknown;x
Dowding;1369;ENG;1;0;4;0;5;2;dowding_hugh_eng;x
Dowler;1074;ENG;3;0;2;0;5;0;unknown;x
Down;1075;ENG;3;0;2;0;5;0;unknown;x
D'Oyly Lyon;1292;ENG;2;0;2;0;5;1;unknown;x
Drew;1076;ENG;3;512;2;0;5;0;unknown;x
Dunbar-Nasmith;1290;ENG;2;0;2;0;5;1;unknown;x
Eastwood;1077;ENG;3;0;2;0;5;0;unknown;x
Edwards;1078;ENG;3;0;2;0;5;0;unknown;x
Edwards-Collins;1293;ENG;2;0;2;0;5;1;unknown;x
Embry;1370;ENG;3;0;2;0;5;2;embry_basil_eng;x
Erskine;1079;ENG;3;0;2;0;5;0;unknown;x
Evans, G.C.;1080;ENG;3;0;2;0;5;0;evans_eng;x
Evans, R.;1081;ENG;3;512;2;0;5;0;unknown;x
Evenlegh;1082;ENG;3;0;2;0;5;0;unknown;x
Evetts;1083;ENG;3;0;2;0;5;0;unknown;x
Fenton;1372;ENG;3;0;2;0;5;2;unknown;x
Festing;1084;ENG;3;0;2;0;5;0;unknown;x
Field;1371;ENG;3;0;2;0;5;2;unknown;x
Finch;1085;ENG;3;512;2;0;5;0;unknown;x
Finnis;1086;ENG;2;0;2;0;5;0;unknown;x
Fisher;1294;ENG;3;0;2;0;5;1;unknown;x
Fisher, A.;1087;ENG;2;0;2;0;5;0;unknown;x
Fisher, B.D.;1088;ENG;2;512;2;0;5;0;unknown;x
Floyer-Acland;1089;ENG;3;512;2;0;5;0;unknown;x
Forbes;1296;ENG;0;0;2;0;5;1;unknown;x
Fortune;1090;ENG;3;0;2;0;5;0;fortune_victor_eng;x
Foster;1373;ENG;3;0;2;0;5;2;unknown;x
Fowkes;1091;ENG;3;0;2;0;5;0;unknown;x
Franklyn;1092;ENG;3;512;2;0;5;0;franklyn_harold_eng;x
Fraser;1093;ENG;3;512;2;0;5;0;unknown;x
Fraser;1295;ENG;3;0;2;0;5;1;fraser_bruce_eng;x
Freeman-Attwood;1094;ENG;3;512;2;0;5;0;unknown;x
Fullbrook-Leggatt;1095;ENG;3;0;2;0;5;0;unknown;x
Fullhard;1374;ENG;3;0;2;0;5;2;unknown;x
Gairdner;1096;ENG;3;0;2;0;5;0;unknown;x
Gale;1097;ENG;3;256;2;0;5;0;unknown;x
Galloway;1098;ENG;3;0;2;0;5;0;unknown;x
Gambier-Parry;1099;ENG;3;0;2;0;5;0;unknown;x
Gammell;1100;ENG;3;0;2;0;5;0;unknown;x
Gartland;1101;ENG;3;0;2;0;5;0;unknown;x
Gatehouse;1102;ENG;3;0;2;0;5;0;unknown;x
Giffard;1103;ENG;1;0;2;0;5;0;giffard_george_eng;x
Godwin-Austin;1104;ENG;3;0;2;0;5;0;unknown;x
Gordon-Finlayson;1105;ENG;3;512;2;0;5;0;unknown;x
Gordon-Finlayson;1375;ENG;3;0;2;0;5;2;unknown;x
Gort;1106;ENG;1;0;2;0;5;0;gort_john2_eng;x
Gott;1107;ENG;3;0;2;0;5;0;unknown;x
Gracey;1108;ENG;3;0;2;0;5;0;gracey_dd_eng;x
Graham;1109;ENG;3;0;2;0;5;0;unknown;x
Grant;1110;ENG;3;512;2;0;5;0;unknown;x
Grasett;1111;ENG;3;0;2;0;5;0;unknown;x
Gregson-Ellis;1112;ENG;3;0;2;0;5;0;unknown;x
Grover;1113;ENG;3;0;2;0;5;0;unknown;x
Hakewill-Smith;1114;ENG;3;0;2;0;5;0;unknown;x
Halifax;1297;ENG;2;0;2;0;5;1;unknown;x
Hallawell;1376;ENG;3;0;2;0;5;2;unknown;x
Halsey;1298;ENG;3;0;2;0;5;1;unknown;x
Hamilton;1377;ENG;3;0;2;0;5;2;unknown;x
Harcout;1299;ENG;3;0;2;0;5;1;unknown;x
Harding;1115;ENG;3;0;2;0;5;0;harding_john_eng;x
Hards;1380;ENG;2;0;2;0;5;2;unknown;x
Harris;1378;ENG;3;32768;5;0;5;2;harris_arthur_eng;x
Harrison;1379;ENG;3;0;2;0;5;2;unknown;x
Hartley;1116;ENG;2;512;2;0;5;0;unknown;x
Harvey;1117;ENG;3;512;2;0;5;0;unknown;x
Harwood;1300;ENG;3;0;2;0;5;1;harwood_henry_eng;x
Hawksworth;1118;ENG;3;0;2;0;5;0;unknown;x
Hawthorn;1119;ENG;3;0;2;0;5;0;unknown;x
Hay;1120;ENG;3;512;2;0;5;0;unknown;x
Hayes;1121;ENG;3;0;2;0;5;0;unknown;x
Hayman-Joyce;1122;ENG;3;0;2;0;5;0;unknown;x
Heath;1123;ENG;3;0;2;0;5;0;unknown;x
Herbert;1124;ENG;3;512;2;0;5;0;unknown;x
Heydeman;1125;ENG;3;0;2;0;5;0;unknown;x
Heywood;1126;ENG;3;0;2;0;5;0;unknown;x
Hibbert;1127;ENG;3;0;2;0;5;0;unknown;x
Hickling;1128;ENG;3;0;2;0;5;0;unknown;x
Hobart;1129;ENG;3;128;3;0;5;0;hobart_pcs_eng;x
Holland;1301;ENG;2;0;1;0;5;1;holland_le_eng;x
Holmes;1130;ENG;3;0;2;0;5;0;unknown;x
Holworthy;1131;ENG;3;0;2;0;5;0;unknown;x
Hopkinson;1132;ENG;3;0;2;0;5;0;unknown;x
Horrocks;1133;ENG;3;0;2;0;5;0;horrocks_brian_eng;x
Horton;1302;ENG;2;0;2;0;5;1;horton_max_eng;x
Hotblack;1134;ENG;3;512;2;0;5;0;unknown;x
Hudson;1135;ENG;3;0;2;0;5;0;unknown;x
Hughes, H.B.W.;1136;ENG;3;32;2;0;5;0;unknown;x
Hughes, I.T.P.;1137;ENG;3;0;2;0;5;0;unknown;x
Hull;1138;ENG;3;0;2;0;5;0;unknown;x
Hutchison;1303;ENG;3;0;2;0;5;1;unknown;x
Hutton;1304;ENG;3;0;2;0;5;1;hutton_jt2_eng;x
Ironside;1139;ENG;1;0;2;0;5;0;ironside_william_eng;x
Irwin;1140;ENG;3;0;2;0;5;0;unknown;x
James;1307;ENG;3;0;2;0;5;1;unknown;x
Jellico;1308;ENG;3;0;2;0;5;1;unknown;x
Johnson;1141;ENG;3;512;2;0;5;0;unknown;x
Jones;1309;ENG;3;0;2;0;5;1;unknown;x
Karslake;1142;ENG;2;512;2;0;5;0;unknown;x
Keble-White;1305;ENG;3;0;2;0;5;1;unknown;x
Keightley;1143;ENG;3;0;2;0;5;0;unknown;x
Kerby;1381;ENG;3;0;2;0;5;2;unknown;x
Kerr;1306;ENG;2;0;2;0;5;1;unknown;x
Key;1144;ENG;3;0;2;0;5;0;unknown;x
Kirke;1145;ENG;2;512;2;0;5;0;unknown;x
Kirkman;1146;ENG;3;0;2;0;5;0;unknown;x
Laurie;1147;ENG;3;0;2;0;5;0;unknown;x
Lawson;1148;ENG;3;0;2;0;5;0;unknown;x
Layton;1310;ENG;3;0;2;0;5;1;layton_geoffrey2_eng;x
Le Fanu;1150;ENG;3;0;2;0;5;0;unknown;x
Leatham;1311;ENG;2;0;2;0;5;1;unknown;x
Lees;1382;ENG;3;0;2;0;5;2;unknown;x
Leese;1149;ENG;3;0;3;0;5;0;leese_oliver2_eng;x
Lewis;1151;ENG;3;0;2;0;5;0;unknown;x
Liddell;1152;ENG;3;0;2;0;5;0;liddell_hart_eng;x
Leigh-Maliroy;1383;ENG;1;0;4;0;5;2;leigh-mallory_traford_eng;x
Lindsay;1153;ENG;3;0;2;0;5;0;unknown;x
Lindsell;1154;ENG;3;512;2;0;5;0;unknown;x
Llyod;1155;ENG;3;0;2;0;5;0;unknown;x
Lochner;1156;ENG;3;0;2;0;5;0;unknown;x
Loewen;1157;ENG;3;0;2;0;5;0;unknown;x
Loftus-Tottenham;1158;ENG;3;0;2;0;5;0;unknown;x
Lomax;1159;ENG;3;0;2;0;5;0;unknown;x
Loyd;1160;ENG;3;512;2;0;5;0;george_lloyd_eng;x
Ludlow-Hewitt;1384;ENG;2;0;2;0;5;2;ludlow-hewitt_edgar2_eng;x
Lumsden;1161;ENG;3;0;2;0;5;0;lumsden_herbert_eng;x
Lyne;1162;ENG;3;0;2;0;5;0;unknown;x
Lyster;1312;ENG;3;0;2;0;5;1;unknown;x
Mack;1313;ENG;3;0;2;0;5;1;unknown;x
Mackesy;1165;ENG;3;0;2;0;5;0;unknown;x
MacLean;1385;ENG;3;0;2;0;5;2;maclean_eng;x
Majendine;1168;ENG;3;512;2;0;5;0;unknown;x
Makeig-Jones;1314;ENG;3;0;2;0;5;1;unknown;x
Maltby;1169;ENG;3;0;2;0;5;0;unknown;x
Mangle;1386;ENG;3;0;2;0;5;2;unknown;x
Manning;1387;ENG;3;0;2;0;5;2;unknown;x
Mansergh;1170;ENG;3;0;2;0;5;0;unknown;x
Marshall-Cornwall;1171;ENG;2;0;2;0;5;0;unknown;x
Martel;1172;ENG;3;0;2;0;5;0;unknown;x
Massy;1173;ENG;3;0;2;0;5;0;unknown;x
Mayard;1388;ENG;2;0;2;0;5;2;unknown;x
Mayne;1174;ENG;3;0;2;0;5;0;mayne_paddy_eng;x
McClaughry;1390;ENG;3;0;2;0;5;2;unknown;x
McCreery;1163;ENG;3;0;2;0;5;0;mccreery_richard_eng;x
McCulloch;1164;ENG;3;512;2;0;5;0;unknown;x
McLeod;1166;ENG;3;0;2;0;5;0;unknown;x
McMillan;1167;ENG;3;0;2;0;5;0;unknown;x
Messervy;1175;ENG;3;0;2;0;5;0;messervy_frank_eng;x
Meyrick;1316;ENG;2;0;2;0;5;1;unknown;x
Micklewaite;1315;ENG;3;0;2;0;5;1;unknown;x
Miles;1176;ENG;3;512;2;0;5;0;unknown;x
Mitchell;1389;ENG;3;0;2;0;5;2;unknown;x
Money;1177;ENG;3;0;2;0;5;0;unknown;x
Montegomery;1178;ENG;3;64;3;0;5;0;montgomery_bernard_eng;x
