NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
A. Sihvo;9732;FIN;1;2;2;0;4;0;unknown;x
Alfthan;9706;FIN;3;0;1;0;4;0;unknown;x
Arajuuri;9707;FIN;3;0;1;0;4;0;unknown;x
Autti;9708;FIN;3;0;1;0;4;0;unknown;x
Blick;9709;FIN;3;0;2;0;4;0;unknown;x
Bremer;9752;FIN;3;0;1;0;4;2;unknown;x
Eskola;9755;FIN;3;0;1;0;4;2;unknown;x
Fagern‰s;9710;FIN;3;0;2;0;4;0;unknown;x
Hanell;9711;FIN;1;8;2;0;4;0;hanell_fin;x
Hannuksela;9712;FIN;3;0;1;0;4;0;unknown;x
Harju-Jeanty;9749;FIN;3;0;1;0;4;2;unknown;x
Heinil‰;9753;FIN;3;0;1;0;4;2;unknown;x
Heinrichs;9703;FIN;1;8;2;0;4;0;heinrichs_fin;x
Hersalo;9715;FIN;3;0;1;0;4;0;unknown;x
Holm;9744;FIN;3;0;1;0;4;2;unknown;x
H‰gglund;9704;FIN;2;0;1;0;4;0;unknown;x
Ilanko;9758;FIN;3;0;1;0;4;2;unknown;x
Isakson;9716;FIN;3;0;1;0;4;0;unknown;x
J. Sihvo;9733;FIN;3;0;1;0;4;0;unknown;x
J.H. Heiskanen;9713;FIN;2;0;1;0;4;0;unknown;x
Jusu;9757;FIN;3;0;1;0;4;2;unknown;x
J‰rvinen;9717;FIN;3;0;1;0;4;0;unknown;x
K.A. Heiskanen;9714;FIN;3;0;1;0;4;0;unknown;x
K‰‰ri‰inen;9718;FIN;3;0;1;0;4;0;unknown;x
Laatikainen;9719;FIN;2;0;3;0;4;0;laatikainen_fin;x
Lagus;9720;FIN;3;0;2;0;4;0;lagus_ruben_fin;x
Larjo;9745;FIN;3;0;1;0;4;2;unknown;x
Lorentz;9747;FIN;2;0;2;0;4;2;unknown;x
Lundquist;9721;FIN;1;8;1;0;4;0;unknown;x
Magnusson;9748;FIN;3;0;1;0;4;2;unknown;x
Malinen;9759;FIN;3;0;1;0;4;2;unknown;x
Mannerheim;9700;FIN;0;2;4;0;4;0;mannerheim_carl_fin;x
Martola;9722;FIN;3;0;1;0;4;0;unknown;x
Melander;9723;FIN;3;0;1;0;4;0;unknown;x
M‰kinen;9724;FIN;2;0;1;0;4;0;unknown;x
Nuotio;9751;FIN;2;0;1;0;4;2;unknown;x
Oesch;9725;FIN;2;0;1;0;4;0;oesch_fin;x
Oinonen;9726;FIN;2;0;1;0;4;0;unknown;x
Paalu;9727;FIN;3;0;1;0;4;0;unknown;x
Pajari;9728;FIN;3;16;1;0;4;0;unknown;x
Pajari;9746;FIN;3;8192;1;0;4;2;pajari_ao_fin;x
Palmroth;9729;FIN;3;0;1;0;4;0;unknown;x
Paloj‰rvi;9730;FIN;3;0;1;0;4;0;unknown;x
Raappana;9731;FIN;3;0;1;0;4;0;unknown;x
Siilasvuo;9734;FIN;2;0;1;0;4;0;siilasvou_hjalmar_fin;x
Siren;9750;FIN;3;0;1;0;4;2;unknown;x
Snellman;9735;FIN;3;0;1;0;4;0;unknown;x
Somerto;9754;FIN;2;0;2;0;4;2;unknown;x
Stenb‰ck;9756;FIN;3;0;1;0;4;2;unknown;x
Sundman;9736;FIN;3;0;1;0;4;0;unknown;x
Svensson;9737;FIN;3;0;1;0;4;0;unknown;x
Talvela;9738;FIN;2;2;2;0;4;0;talvela_paavo_fin;x
Tapola;9739;FIN;3;0;1;0;4;0;unknown;x
Tuompo;9705;FIN;3;2;1;0;4;0;tuompo_viljo_fin;x
Wallenius;9741;FIN;3;8;1;0;4;0;wallenius_fin;x
Wihma;9742;FIN;3;0;1;0;4;0;unknown;x
Viljanen;9740;FIN;3;0;1;0;4;0;unknown;x
Winell;9743;FIN;3;0;1;0;4;0;unknown;x
÷hquist;9702;FIN;2;0;1;0;4;0;unknown;x
÷sterman;9701;FIN;1;2;1;0;4;0;osterman_hugo_fin;x
