Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Abadie;24015;FRA;3;0;1;0;4;0;unknown;x
Agliany;24016;FRA;3;0;1;0;3;0;unknown;x
Alaurent;24017;FRA;3;0;1;0;3;0;unknown;x
Aliotti;24018;FRA;3;0;1;0;2;0;unknown;x
Allemandet;24019;FRA;3;0;1;0;4;0;unknown;x
Altmayer;24020;FRA;2;0;1;0;4;0;unknown;x
Altmayer;24021;FRA;1;2;2;0;5;0;unknown;x
Ardant du Picq;24024;FRA;3;0;1;0;3;0;unknown;x
Arlabosse;24025;FRA;3;0;1;0;4;0;unknown;x
Armingeat;24026;FRA;3;0;1;0;3;0;unknown;x
Arnaud;24027;FRA;2;0;1;0;4;0;unknown;x
Aublet;24028;FRA;3;0;1;0;3;0;unknown;x
Audet;24029;FRA;2;0;1;0;4;0;unknown;x
Aymé;24030;FRA;3;0;1;0;3;0;unknown;x
Aymes;24031;FRA;2;0;1;0;4;0;unknown;x
Balourdet;24032;FRA;2;0;1;0;3;0;unknown;x
Barbe;24013;FRA;2;0;2;0;5;0;unknown;x
Beaudouin;24033;FRA;3;0;1;0;4;0;unknown;x
Beaufrère;24034;FRA;3;0;1;0;3;0;unknown;x
Berniquet;24006;FRA;1;2;2;0;5;0;unknown;x
Besancon;24036;FRA;3;0;1;0;3;0;unknown;x
Besson;24035;FRA;1;2;2;0;5;0;unknown;x
E.Bethouart;24037;FRA;1;256;2;0;5;0;bethouart_emile_fra;x
Beynet;24038;FRA;2;0;1;0;4;0;unknown;x
Beziers-Lafosse;24039;FRA;3;0;1;0;3;0;unknown;x
Blanchard;24040;FRA;1;2;1;0;4;0;unknown;x
Boëll;24041;FRA;3;0;1;0;3;0;unknown;x
Bonnaissieux;24042;FRA;3;0;1;0;3;0;unknown;x
Boucher;24043;FRA;3;0;1;0;3;0;unknown;x
Bouffet;24014;FRA;2;0;2;0;5;0;unknown;x
Bouffet;24044;FRA;2;0;1;0;4;0;unknown;x
Bourgignon;24005;FRA;1;2;2;0;5;0;unknown;x
Bourguignon;24045;FRA;1;2;1;0;3;0;unknown;x
Bourret;24046;FRA;1;2;1;0;4;0;unknown;x
Brocard;24002;FRA;2;0;2;0;5;0;unknown;x
Brown de Costoun;24047;FRA;3;0;1;0;2;0;unknown;x
Buisson;24048;FRA;3;0;1;0;5;0;unknown;x
Caillault;24049;FRA;3;0;1;0;5;0;unknown;x
Caille;24050;FRA;3;0;1;0;4;0;unknown;x
Carpentier;24051;FRA;1;2;1;0;5;0;unknown;x
Catroux;24052;FRA;2;0;1;0;4;0;catroux_georges_fra;x
Chaillet;24053;FRA;1;2;1;0;4;0;unknown;x
Champon;24054;FRA;3;0;1;0;5;0;unknown;x
Chanoine;24007;FRA;2;0;2;0;5;0;unknown;x
Chanoine;24055;FRA;3;0;1;0;4;0;unknown;x
Charry;24056;FRA;3;0;1;0;4;0;unknown;x
Colson;24057;FRA;1;2;2;0;2;0;unknown;x
Condé;24058;FRA;1;2;2;0;5;0;unknown;x
Coradin;24059;FRA;3;0;1;0;3;0;unknown;x
Daille;24060;FRA;2;0;1;0;5;0;unknown;x
Dame;24061;FRA;1;2;1;0;4;0;unknown;x
d'Anselme;24022;FRA;3;0;1;0;4;0;unknown;x
d'Arbonneau;24023;FRA;3;0;1;0;3;0;unknown;x
D'Arras;24012;FRA;2;0;2;0;5;0;unknown;x
de Gaulle;24077;FRA;1;128;4;0;5;0;degaulle_charles_fra;x
Debeney;24062;FRA;3;0;2;0;5;0;unknown;x
Delaissey;24063;FRA;3;0;1;0;4;0;unknown;x
Delestraint;24064;FRA;3;0;1;0;5;0;delestraint_charles_fra;x
Deligne;24065;FRA;3;0;1;0;4;0;unknown;x
Desmazes;24066;FRA;2;0;1;0;4;0;unknown;x
Devinck;24067;FRA;3;0;2;0;4;0;unknown;x
Doyen;24068;FRA;2;0;1;0;4;0;unknown;x
Duclos;24069;FRA;3;0;1;0;3;0;unknown;x
Duval;24070;FRA;2;0;1;0;5;0;unknown;x
Etcheberrigaray;24071;FRA;2;0;1;0;3;0;unknown;x
Flavigny;24003;FRA;1;2;2;0;5;0;unknown;x
Flavigny;24072;FRA;2;0;1;0;4;0;unknown;x
Francois;24073;FRA;3;0;1;0;3;0;mitterand_francois_fra;x
Frénal;24074;FRA;2;0;1;0;4;0;unknown;x
Frère;24075;FRA;3;0;1;0;5;0;unknown;x
Freydenberg;24076;FRA;1;2;2;0;4;0;unknown;x
Germain;24004;FRA;1;2;2;0;5;0;unknown;x
Gillier;24078;FRA;2;0;1;0;4;0;unknown;x
Girot de Langlade;24079;FRA;3;0;2;0;5;0;unknown;x
Gonzalez de Linares;24080;FRA;1;2;3;0;5;0;unknown;x
Gorap;24011;FRA;2;0;2;0;5;0;unknown;x
Grancey;24081;FRA;1;2;1;0;4;0;unknown;x
Gransard;24008;FRA;1;2;2;0;5;0;unknown;x
Guitry;24082;FRA;3;0;2;0;5;0;unknown;x
Hanck;24083;FRA;2;0;1;0;4;0;unknown;x
Hanoteau;24084;FRA;1;2;2;0;5;0;unknown;x
Hesdin;24085;FRA;3;0;1;0;4;0;unknown;x
Hubert;24086;FRA;3;0;3;0;3;0;unknown;x
Huntziger;24087;FRA;1;2;2;0;2;0;huntziger_charles_fra;x
Hupel;24088;FRA;3;0;1;0;4;0;unknown;x
Ihler;24089;FRA;2;0;1;0;4;0;unknown;x
