Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Rommel;1;GER;1;16;5;0;5;0;rommel_erwin_ger;x
Guderian;2;GER;3;128;4;0;5;0;guderian_heinz3_ger;x
von Manstein;3;GER;0;128;5;0;5;0;vonmanstein_erich3_ger;x
Dönitz;4;GER;1;1024;4;0;3;1;donitz_karl3_ger;x
Rudel;5;GER;3;4096;4;0;5;2;rudel_hans-ulrich3_ger;x
Boehm;6;GER;0;1024;3;0;5;1;boehm_ger;x
Densch;7;GER;2;0;2;0;5;1;unknown;x
Marschall;8;GER;2;0;3;0;5;1;marschall_wilhelm_ger;x
Eckermann;9;GER;3;0;2;0;5;0;unknown;x
Ibbeken;10;GER;3;0;2;0;5;0;unknown;x
Rösing;11;GER;3;0;2;0;5;0;unknown;x
von Hartmann;12;GER;3;0;2;0;5;0;hartmann_alexander_ger;x
Sobe;13;GER;3;0;2;0;5;0;unknown;x
Beduhn;14;GER;3;0;2;0;5;0;unknown;x
von Rundstedt;15;GER;0;4;4;0;5;0;vonrundstedt_gerd3_ger;x
von Brauchitz;16;GER;2;4;3;0;5;0;vonbrauchitsch_walter3_ger;x
Blaskowitz;17;GER;2;4;3;0;5;0;blaskowitz_johannes_ger;x
von Witzleben;18;GER;1;4;3;0;5;0;vonwitzleben_erwin_ger;x
von Kleist;19;GER;2;128;3;0;5;0;vonkleist_ewald3_ger;x
von Leeb;20;GER;1;4;3;0;5;0;vonleeb_wilhelm4_ger;x
Geyer;21;GER;2;0;2;0;5;0;unknown;x
W. von Kluge;22;GER;2;4;2;0;5;0;vonkluge_gunther3_ger;x
Dollman;23;GER;2;0;3;0;5;0;dollman_friedrich2_ger;x
von Kressenstein;24;GER;2;4;2;0;5;0;unknown;x
List;25;GER;1;4;3;0;5;0;list_wilhelm3_ger;x
von Reichenau;26;GER;0;4;3;50;5;0;reichenau_walther_ger;x
von Knochenhauer;27;GER;2;0;2;0;5;0;unknown;x
Ulex;28;GER;2;0;2;0;5;0;unknown;x
Lutz;29;GER;2;0;2;0;5;0;unknown;x
Schroth;30;GER;3;0;2;0;5;0;unknown;x
von Niebelschutz;31;GER;3;0;2;0;5;0;unknown;x
Wodrig;32;GER;1;0;2;0;5;0;albert_wodrig_ger;x
Gerke;33;GER;3;0;2;0;5;0;unknown;x
von Falkenhorst;34;GER;3;4;3;0;5;0;vonfalkenhorst_nikolaus_ger;x
Petzel;35;GER;3;0;2;0;5;0;unknown;x
Busch;36;GER;2;0;3;50;5;0;busch4_ernst_ger;x
Koch;37;GER;3;0;2;0;5;0;koch_erich_ger;x
von Obstfelder;38;GER;1;0;3;0;5;0;von_obstfelder_ger;x
Hahn;39;GER;3;0;2;0;5;0;unknown;x
O. Hansen;40;GER;3;0;2;0;5;0;unknown;x
Scheller;41;GER;3;0;2;0;5;0;unknown;x
