NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Anagnostopoulos;31530;GRE;3;0;1;0;4;2;unknown;x
Anastasakis;31532;GRE;3;0;1;0;4;2;unknown;x
Andoniou;31528;GRE;3;0;1;0;4;2;unknown;x
Bakos;31500;GRE;3;0;1;0;3;0;unknown;x
Brahnos;31501;GRE;3;0;1;0;3;0;unknown;x
Demestichas;31502;GRE;2;0;1;0;4;0;unknown;x
Drakos;31503;GRE;1;0;1;0;4;0;unknown;x
Karassos;31504;GRE;3;0;1;0;2;0;unknown;x
Katassos;31525;GRE;3;0;1;0;4;2;unknown;x
Katsemetros;31505;GRE;3;0;1;0;3;0;unknown;x
Kellas;31527;GRE;3;0;1;0;4;2;unknown;x
Kitsos;31506;GRE;3;0;1;0;2;0;unknown;x
Kotsalos;31508;GRE;3;0;1;0;3;0;unknown;x
Kotsmas;31507;GRE;2;0;1;0;4;0;unknown;x
Lavdas;31509;GRE;3;0;1;0;4;0;unknown;x
Lioumpas;31510;GRE;3;0;1;0;3;0;unknown;x
Markou;31511;GRE;3;0;1;0;2;0;unknown;x
Metaxas;31512;GRE;3;0;1;0;3;0;metaxas_ioannis2_gre;x
Moutouses;31513;GRE;3;0;1;0;3;0;unknown;x
Paliatseas;31526;GRE;3;0;1;0;4;2;unknown;x
Papadakis;31531;GRE;3;0;1;0;4;2;unknown;x
Papadopoulos;31514;GRE;2;0;1;0;4;0;unknown;x
Papageorgiou;31515;GRE;3;0;1;0;3;0;papandreou_george_gre;x
Papagos;31516;GRE;0;0;3;0;5;0;papagos_alexander_gre;x
Papagos;31524;GRE;1;0;3;0;4;2;unknown;x
Papakonstantinou;31517;GRE;3;0;1;0;3;0;unknown;x
Pitsikas;31518;GRE;1;0;2;0;4;0;unknown;x
Roussopoulos;31519;GRE;3;0;1;0;2;0;unknown;x
Stanotas;31520;GRE;3;0;1;0;3;0;unknown;x
Stathakis;31533;GRE;3;0;1;0;4;2;unknown;x
Stergiopoulos;31521;GRE;3;0;1;0;2;0;unknown;x
Theodoropoulos;31529;GRE;3;0;1;0;4;2;unknown;x
Tsolakoglou;31522;GRE;1;0;2;0;1;0;unknown;x
Urachnos;31523;GRE;3;0;1;0;3;0;unknown;x
