NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Abt;31100;HUN;3;0;1;0;5;0;unknown;x
Aggteleky;31101;HUN;2;0;2;0;5;0;unknown;x
Álgya-Pap;31102;HUN;3;0;1;0;5;0;unknown;x
Asztalossy;31103;HUN;3;0;1;0;5;0;unknown;x
Bajnóczy;31104;HUN;2;0;1;0;5;0;unknown;x
Bakay;31105;HUN;0;0;2;0;5;0;unknown;x
Bántay;31106;HUN;3;0;1;0;5;0;unknown;x
Baumann;31107;HUN;3;0;1;0;5;0;unknown;x
Beleznay;31108;HUN;3;0;1;0;5;0;unknown;x
Benda;31109;HUN;3;0;1;0;5;0;unknown;x
Benke;31110;HUN;3;0;1;0;5;0;unknown;x
Beregffy;31111;HUN;1;0;2;0;5;0;unknown;x
Berkovich;31112;HUN;3;0;1;0;5;0;unknown;x
Bisza;31113;HUN;2;0;1;0;5;0;unknown;x
Bittó;31114;HUN;3;0;1;0;5;0;unknown;x
Bor;31115;HUN;3;0;1;0;5;0;unknown;x
Budaházy;31116;HUN;3;0;1;0;5;0;unknown;x
Csatay v. Csatai;31117;HUN;1;0;2;0;5;0;unknown;x
Csibi;31118;HUN;3;0;1;0;5;0;unknown;x
Deák;31119;HUN;3;0;1;0;5;0;unknown;x
Decleva;31120;HUN;1;0;1;0;5;0;unknown;x
Denk;31121;HUN;3;0;1;0;5;0;unknown;x
Depóld;31122;HUN;3;0;1;0;5;0;unknown;x
Deseö;31123;HUN;3;0;1;0;5;0;unknown;x
Desin;31124;HUN;2;0;1;0;5;0;unknown;x
Domaniczky;31125;HUN;2;0;1;0;5;0;unknown;x
Dömötör;31126;HUN;2;0;1;0;5;0;unknown;x
Ehrlich;31127;HUN;3;0;1;0;5;0;unknown;x
Eötvös;31128;HUN;3;0;1;0;5;0;unknown;x
Farkas;31129;HUN;1;0;2;0;5;0;unknown;x
Fehér;31130;HUN;3;0;1;0;5;0;unknown;x
Feketehalmy-Czeydner;31131;HUN;1;0;2;0;5;0;unknown;x
Felkl;31132;HUN;3;0;1;0;5;0;unknown;x
Friedrich;31133;HUN;3;0;1;0;5;0;unknown;x
Ginzkey;31134;HUN;3;0;1;0;5;0;unknown;x
Gorondy-Vovák;31135;HUN;3;0;2;0;5;0;unknown;x
Góthay;31136;HUN;3;0;1;0;5;0;unknown;x
Grassy;31137;HUN;2;0;1;0;5;0;unknown;x
Gyimesi;31138;HUN;2;0;1;0;5;0;unknown;x
Hankovzsky;31139;HUN;2;0;1;0;5;0;unknown;x
Hardy;31140;HUN;3;0;1;0;5;0;unknown;x
Heim;31141;HUN;3;0;1;0;5;0;unknown;x
Henneyey;31142;HUN;3;0;2;0;5;0;unknown;x
Heszlényi;31143;HUN;1;0;2;0;5;0;unknown;x
Hindy;31144;HUN;2;0;1;0;5;0;unknown;x
Hollósy-Kuthy;31145;HUN;2;0;1;0;5;0;unknown;x
Horváth;31146;HUN;3;0;1;0;5;0;unknown;x
Ibrányi;31147;HUN;2;0;1;0;5;0;unknown;x
Illésházy;31148;HUN;3;0;1;0;5;0;unknown;x
Jány;31149;HUN;1;0;1;0;5;0;unknown;x
Justy;31150;HUN;1;0;1;0;5;2;unknown;x
Kálman;31151;HUN;3;0;1;0;5;0;unknown;x
Karátsony;31152;HUN;3;0;1;0;5;0;unknown;x
Kisfaludy;31153;HUN;3;0;1;0;5;0;unknown;x
Kiss;31154;HUN;2;0;1;0;5;0;unknown;x
Kolossváry;31155;HUN;3;0;1;0;5;0;unknown;x
Kolthay;31156;HUN;3;0;1;0;5;0;unknown;x
Kovács;31157;HUN;0;0;2;0;5;0;unknown;x
Kozma;31158;HUN;3;0;1;0;5;0;unknown;x
Kudriczy;31159;HUN;3;0;1;0;5;0;unknown;x
