NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Abbondanza;6000;ITA;3;0;1;0;3;0;unknown;x
Alagia;6001;ITA;3;0;1;0;3;0;unknown;x
Aliberti;6002;ITA;1;0;1;0;3;0;unknown;x
Amato;6003;ITA;3;0;1;0;2;1;unknown;x
Ambrosio;6004;ITA;1;0;1;0;4;0;ambrosio_vittorio_ita;x
Amico;6005;ITA;1;0;1;0;3;0;unknown;x
Andreoli;6006;ITA;3;0;1;0;3;0;unknown;x
Angioy;6007;ITA;3;0;1;0;3;0;unknown;x
Antonelli;6008;ITA;2;0;1;0;5;0;unknown;x
Appiotti;6009;ITA;2;0;1;0;5;0;unknown;x
Arena;6010;ITA;3;0;1;0;4;0;unknown;x
Argentino;6011;ITA;2;0;1;0;5;0;unknown;x
Arisio;6012;ITA;1;0;1;0;4;0;unknown;x
Armando;6013;ITA;3;0;1;0;2;0;unknown;x
Armellini;6014;ITA;2;0;1;0;5;0;unknown;x
Armellini;6015;ITA;2;0;1;0;4;0;unknown;x
Arnato;6016;ITA;3;0;1;0;3;1;unknown;x
Asinari di Bernezzo;6017;ITA;3;0;1;0;4;0;unknown;x
Aymonnino;6018;ITA;2;0;1;0;5;0;unknown;x
Azzi;6019;ITA;3;0;1;0;2;0;unknown;x
Babini;6020;ITA;3;0;1;0;3;0;unknown;x
Baccari;6021;ITA;3;0;1;0;2;0;unknown;x
Badino-Rossi;6022;ITA;3;0;1;0;4;1;unknown;x
Badoglio;6023;ITA;0;0;3;0;5;0;badoglio_pietro_ita;x
Baistrocchi;6024;ITA;2;0;1;0;4;0;unknown;x
Baldassare;6025;ITA;2;0;1;0;4;0;unknown;x
Balocco;6026;ITA;3;0;1;0;3;0;unknown;x
Balotta;6027;ITA;3;0;1;0;3;0;unknown;x
Bancale;6028;ITA;2;0;1;0;3;0;unknown;x
Barbasetti di Prun;6029;ITA;2;0;1;0;4;0;unknown;x
Barbieri;6030;ITA;2;0;1;0;3;0;unknown;x
Barbieri;6031;ITA;2;0;1;0;4;0;unknown;x
Basso;6032;ITA;2;0;1;0;3;0;unknown;x
Bastico;6033;ITA;1;0;2;0;4;0;bastico_ettore_ita;x
Becuzzi;6034;ITA;3;0;1;0;3;0;unknown;x
Belletti;6035;ITA;3;0;1;0;3;0;unknown;x
Benelli;6036;ITA;3;0;1;0;2;0;unknown;x
Berardi;6037;ITA;1;0;2;0;4;0;unknown;x
Bergamo;6038;ITA;1;0;2;0;4;0;unknown;x
Bergonzi;6039;ITA;3;0;1;0;2;0;unknown;x
Bergonzoli;6040;ITA;2;0;1;0;3;0;bergonzoli_annibale_ita;x
Berti;6041;ITA;1;0;1;0;4;0;unknown;x
Bettini;6042;ITA;2;0;1;0;3;0;unknown;x
Biglioni;6043;ITA;3;0;1;0;2;0;unknown;x
Bignami;6044;ITA;3;0;1;0;3;0;unknown;x
Binacchi;6045;ITA;3;0;1;0;4;1;unknown;x
Biscaccianti;6046;ITA;2;0;2;0;5;0;unknown;x
Bitossi;6047;ITA;2;0;2;0;4;0;unknown;x
Bollea;6048;ITA;3;0;1;0;3;0;unknown;x
Bologna;6049;ITA;3;0;1;0;2;0;unknown;x
Bonelli;6050;ITA;3;0;1;0;3;0;unknown;x
Bonini;6051;ITA;3;0;1;0;3;0;unknown;x
Borghi;6052;ITA;3;0;1;0;5;0;unknown;x
Boselli;6053;ITA;3;0;1;0;4;0;unknown;x
Cadorna;6054;ITA;2;0;2;0;4;0;unknown;x
Calvi di Bergolo;6055;ITA;3;0;1;0;4;0;unknown;x
Canale;6056;ITA;2;0;1;0;3;0;unknown;x
Canistra;6057;ITA;3;0;1;0;3;0;unknown;x
Capizzi;6058;ITA;3;0;1;0;3;0;unknown;x
Caracciolo di Feroleto;6059;ITA;1;0;2;0;4;0;unknown;x
Carboni;6060;ITA;2;0;2;0;5;0;unknown;x
Carnimeo;6061;ITA;3;0;1;0;2;0;unknown;x
Caruso;6062;ITA;3;0;1;0;4;0;unknown;x
Castagna;6063;ITA;2;0;1;0;4;0;unknown;x
Ceriana-Mayneri;6064;ITA;3;0;1;0;3;0;unknown;x
Cesaretti;6065;ITA;3;0;1;0;2;0;unknown;x
Chatrian;6066;ITA;3;0;1;0;4;1;unknown;x
Chiminelli;6067;ITA;3;0;1;0;3;0;unknown;x
Chirieleison;6068;ITA;3;0;1;0;2;0;unknown;x
Cigala-Fulgosi;6069;ITA;3;0;1;0;5;0;unknown;x
Cinti;6070;ITA;2;0;1;0;4;0;unknown;x
Clerici;6071;ITA;2;0;1;0;3;0;unknown;x
Clerico;6072;ITA;3;0;1;0;3;0;unknown;x
Colonna;6073;ITA;3;0;1;0;3;1;unknown;x
Cona;6074;ITA;2;0;1;0;4;0;unknown;x
Conticelli;6075;ITA;3;0;1;0;5;0;unknown;x
Cortese;6076;ITA;3;0;1;0;3;0;unknown;x
Costa;6077;ITA;3;0;1;0;3;0;unknown;x
Cotronei;6078;ITA;3;0;1;0;3;0;unknown;x
Cremaschi;6079;ITA;3;0;1;0;2;0;unknown;x
Dalmazzo;6080;ITA;2;0;1;0;3;0;unknown;x
Dapino;6081;ITA;3;0;1;0;4;0;unknown;x
d'Arle;6082;ITA;3;0;1;0;3;0;unknown;x
De Bono;6083;ITA;0;0;2;0;5;0;debono_emilio2_ita;x
De Castiglione;6084;ITA;3;0;1;0;5;0;unknown;x
De Cia;6085;ITA;3;0;1;0;4;0;unknown;x
de Laurentis;6086;ITA;3;0;1;0;5;1;unknown;x
Della Bona;6087;ITA;2;0;1;0;4;0;unknown;x
de Pignier;6088;ITA;2;0;1;0;4;0;unknown;x
de Rienzi;6089;ITA;2;0;1;0;4;0;unknown;x
de Simone;6090;ITA;1;0;1;0;5;0;unknown;x
de Stefanis;6091;ITA;2;0;1;0;3;0;unknown;x
D'Havet;6092;ITA;3;0;1;0;4;0;unknown;x
Di Nisio;6093;ITA;3;0;1;0;4;0;unknown;x
Du Pont;6094;ITA;3;0;1;0;5;0;unknown;x
Esposito;6095;ITA;2;0;2;0;3;0;unknown;x
Faldella;6096;ITA;1;0;1;0;4;0;unknown;x
Ferone;6097;ITA;3;0;1;0;4;0;unknown;x
Ferrari Orsi;6098;ITA;2;0;1;0;4;0;unknown;x
Ferrero;6099;ITA;2;0;1;0;5;0;unknown;x
Fiorenzoli;6100;ITA;3;0;1;0;4;0;unknown;x
Fontana;6101;ITA;1;0;1;0;5;0;unknown;x
Franceschini;6102;ITA;3;0;1;0;4;0;unknown;x
Frattini;6103;ITA;3;0;1;0;5;0;unknown;x
Gambara;6104;ITA;2;0;2;0;5;0;unknown;x
Gambelli;6105;ITA;1;0;1;0;4;0;unknown;x
Geloso;6106;ITA;1;0;2;0;4;0;unknown;x
Gherzi;6107;ITA;3;0;1;0;4;0;unknown;x
Gianni;6108;ITA;3;0;1;0;5;0;unknown;x
Giglioli;6109;ITA;3;0;1;0;4;0;unknown;x
Giovannelli;6110;ITA;3;0;1;0;3;0;unknown;x
Girotti;6111;ITA;3;0;1;0;5;0;unknown;x
Gloria;6112;ITA;3;0;1;0;4;0;unknown;x
Grossi;6113;ITA;1;0;2;0;4;0;unknown;x
Guidi;6114;ITA;1;0;1;0;5;0;unknown;x
Infante;6115;ITA;3;0;1;0;5;0;unknown;x
Lama;6116;ITA;2;0;1;0;5;0;unknown;x
Lerici;6117;ITA;3;0;1;0;3;0;unknown;x
Lorenzelli;6118;ITA;3;0;1;0;4;0;unknown;x
Maggiani;6119;ITA;3;0;1;0;4;0;unknown;x
Magli;6120;ITA;2;0;2;0;4;0;unknown;x
Maletti;6121;ITA;1;0;1;0;4;0;unknown;x
Manella;6122;ITA;2;0;1;0;4;0;unknown;x
Manzi;6123;ITA;3;0;1;0;4;0;unknown;x
Marghinotti;6124;ITA;3;0;1;0;5;0;unknown;x
Martinat;6125;ITA;2;0;1;0;5;0;unknown;x
Mentasti;6126;ITA;2;0;1;0;4;0;unknown;x
Messe;6127;ITA;0;0;2;0;5;0;messe_giovanni_ita;x
Micheletti;6128;ITA;3;0;1;0;4;0;unknown;x
Molinari;6129;ITA;3;0;1;0;4;0;unknown;x
Mondino;6130;ITA;2;0;1;0;5;0;unknown;x
Nasi;6131;ITA;1;0;1;0;5;0;unknown;x
Nebbia;6132;ITA;3;0;1;0;5;0;unknown;x
Olmi;6133;ITA;3;0;1;0;4;0;unknown;x
Oxilia;6134;ITA;3;0;1;0;5;0;unknown;x
Pariani;6135;ITA;1;0;1;0;5;0;unknown;x
Pedrotti;6136;ITA;3;0;1;0;5;0;unknown;x
Pescatori;6137;ITA;3;0;1;0;4;0;unknown;x
Piazzolato;6138;ITA;3;0;1;0;5;0;unknown;x
Piazzoni;6139;ITA;2;0;2;0;5;0;unknown;x
Piedmont;6140;ITA;0;0;3;0;5;0;unknown;x
Pirzio Biroli;6141;ITA;1;0;1;0;5;0;unknown;x
Pistoia;6142;ITA;1;0;2;0;5;0;unknown;x
Pizzolato;6143;ITA;3;0;1;0;5;0;unknown;x
Primieri;6144;ITA;2;0;2;0;5;0;unknown;x
Priore;6145;ITA;2;0;1;0;4;0;unknown;x
Quarra;6146;ITA;3;0;1;0;4;0;unknown;x
Rastrelli;6147;ITA;2;0;1;0;5;0;unknown;x
Reisoli;6148;ITA;2;0;1;0;4;0;unknown;x
Ricagno;6149;ITA;3;0;1;0;5;0;unknown;x
Rivolta;6150;ITA;3;0;1;0;5;0;unknown;x
Roatta;6151;ITA;1;0;3;0;5;0;unknown;x
Roda;6152;ITA;3;0;1;0;5;0;unknown;x
Romano;6153;ITA;3;0;1;0;4;0;unknown;x
Romero;6154;ITA;3;0;1;0;4;0;unknown;x
Rosi;6155;ITA;1;0;1;0;3;0;unknown;x
Rossi;6156;ITA;2;0;1;0;3;0;unknown;x
Ruggero;6157;ITA;3;0;1;0;4;0;unknown;x
Ruggiero;6158;ITA;3;0;1;0;4;0;unknown;x
Saporetti;6159;ITA;2;0;1;0;3;0;unknown;x
Scanagatta;6160;ITA;3;0;1;0;4;0;unknown;x
Scaroina;6161;ITA;3;0;1;0;4;0;unknown;x
Scattini;6162;ITA;3;0;1;0;4;0;unknown;x
Sogno;6163;ITA;3;0;1;0;4;0;unknown;x
Spatoco;6164;ITA;2;0;1;0;4;0;unknown;x
Spicacci;6165;ITA;3;0;1;0;4;0;unknown;x
Stefanelli;6166;ITA;3;0;1;0;5;0;unknown;x
Stirpe;6167;ITA;3;0;1;0;4;0;unknown;x
