Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
H. Abe;101001;JAP;2;0;1;0;5;0;unknown;x
H. Abe;101002;JAP;3;0;2;0;5;1;unknown;x
K. Abe;101003;JAP;2;0;1;0;5;0;unknown;x
K. Abe;101004;JAP;3;0;1;0;5;1;unknown;x
T. Abe;101005;JAP;2;131072;2;0;5;2;unknown;x
H. Adachi;101006;JAP;2;0;2;0;5;0;adachi_h_jap;x
J. Adachi;101007;JAP;3;0;1;0;5;0;unknown;x
T. Aida;101008;JAP;3;0;1;0;5;0;unknown;x
A. Akashi;101009;JAP;3;0;1;0;5;0;unknown;x
Y. Akashi;101010;JAP;2;0;1;0;5;0;unknown;x
Y. Akashiba;101011;JAP;2;0;2;0;5;0;unknown;x
T. Akashika;101012;JAP;3;0;1;0;5;0;unknown;x
T. Akashita;101013;JAP;2;0;1;0;5;0;unknown;x
T. Akiyama;101014;JAP;3;131072;2;0;5;2;unknown;x
T. Akijika;101015;JAP;3;0;1;0;5;0;unknown;x
J. Amagasu;101016;JAP;2;0;1;0;5;0;unknown;x
T. Amamiya;101017;JAP;2;0;1;0;5;0;unknown;x
S. Amaya;101018;JAP;2;0;1;0;5;0;unknown;x
K. Anami;101019;JAP;1;128;2;0;5;0;anami_k_jap;x
R. Ando;101020;JAP;1;4;3;0;5;0;unknown;x
S. Ando;101021;JAP;2;0;1;0;5;0;unknown;x
J. Aoki;101022;JAP;2;0;1;0;5;0;unknown;x
S. Aoki;101023;JAP;2;0;1;0;5;0;unknown;x
K. Aotsu;101024;JAP;3;0;1;0;5;0;unknown;x
M. Araki;101025;JAP;3;0;1;0;5;0;unknown;x
B. Araki;101026;JAP;1;4;2;0;5;0;unknown;x
K. Arikawa;101027;JAP;3;0;1;0;5;0;unknown;x
J. Aritomi;101028;JAP;3;0;1;0;5;0;unknown;x
A. Akira-Oh;101029;JAP;3;0;1;0;5;1;unknown;x
P. Asaka;101030;JAP;1;4;2;0;5;0;prince_asaka_jap;x
K. Ayabe;101031;JAP;2;0;3;0;5;0;unknown;x
M. Baba;101032;JAP;2;0;1;0;5;0;unknown;x
T. Ban;101033;JAP;2;0;1;0;5;0;unknown;x
K. Banzai;101034;JAP;2;0;1;0;5;0;unknown;x
I. Cho;101035;JAP;2;0;2;0;5;0;unknown;x
T. Daigo;101036;JAP;3;0;2;0;5;1;unknown;x
K. Dohihara;101037;JAP;1;4;3;0;5;0;unknown;x
M. Eda;101038;JAP;2;0;1;0;5;0;unknown;x
K. Enbu;101039;JAP;2;0;1;0;5;0;unknown;x
S. Endo;101040;JAP;3;0;1;0;5;0;unknown;x
K. Fujie;101041;JAP;1;4;3;0;5;0;unknown;x
Y. Fujii;101042;JAP;2;0;1;0;5;0;unknown;x
Y. Fujimura;101043;JAP;3;0;1;0;5;0;unknown;x
T. Fujioka;101044;JAP;2;0;1;0;5;0;unknown;x
R. Fujita;101045;JAP;3;0;2;0;5;1;unknown;x
S. Fujita;101046;JAP;2;0;1;0;5;0;unknown;x
S. Fukei;101047;JAP;2;0;1;0;5;0;unknown;x
M. Funabiki;101048;JAP;3;0;1;0;5;0;unknown;x
A. Goto;101049;JAP;3;0;2;0;5;1;unknown;x
A. Hagisu;101050;JAP;2;0;1;0;5;0;unknown;x
K. Hanamoto;101051;JAP;2;0;1;0;5;0;unknown;x
T. Hanaya;101052;JAP;2;0;2;0;5;0;hanaya_tadashi_jap;x
C. Hara;101053;JAP;3;0;2;0;5;1;unknown;x
K. Hara;101054;JAP;2;0;2;0;5;0;unknown;x
K. Hara;101055;JAP;3;0;2;0;5;1;unknown;x
M. Hara;101056;JAP;2;0;1;0;5;0;unknown;x
J. Harada;101057;JAP;2;0;1;0;5;0;unknown;x
K. Harada;101058;JAP;2;0;1;0;5;0;unknown;x
S. Harada;101059;JAP;3;0;1;0;5;0;unknown;x
Y. Harada;101060;JAP;3;0;1;0;5;0;unknown;x
S. Hashimoto;101061;JAP;3;0;2;0;5;1;unknown;x
S. Hata;101062;JAP;0;4;4;0;5;0;s_hata_jap;x
H. Hattori;101063;JAP;3;0;1;0;5;0;unknown;x
A. Hayashi;101064;JAP;2;0;1;0;5;0;unknown;x
Y. Hayashi;101065;JAP;2;0;1;0;5;0;unknown;x
Y. Hayashi;101066;JAP;2;0;1;0;5;0;unknown;x
H. Hayashida;101067;JAP;3;0;1;0;5;0;unknown;x
P. Higashikuni;101068;JAP;0;4;3;0;5;0;prince_higashikuni_jap;x
K. Higuchi;101069;JAP;2;0;3;0;5;0;unknown;x
M. Hirabayashi;101070;JAP;2;0;1;0;5;0;unknown;x
T. Hirano;101071;JAP;3;0;2;0;5;0;unknown;x
K. Hiraoka;101072;JAP;3;0;2;0;5;1;unknown;x
J. Hirata;101073;JAP;3;0;1;0;5;0;unknown;x
