Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Laake;9600;NOR;1;0;0;0;5;0;unknown;x
Ruge;9601;NOR;1;0;1;0;5;0;ruge_otto_nor;x
Erichsen;9602;NOR;3;0;1;0;5;0;eriksen_birger_nor;x
Hvinden-Haug;9603;NOR;3;0;1;0;5;0;unknown;x
Liljedahl;9604;NOR;3;0;1;0;5;0;unknown;x
Steffens;9605;NOR;3;0;1;0;5;0;unknown;x
Laurantzson;9606;NOR;3;0;1;0;5;0;unknown;x
Fleischer;9607;NOR;3;0;3;0;5;0;fleischer_carl_nor;x
Diesen;9608;NOR;2;0;1;0;5;1;unknown;x
Hagerup;9609;NOR;3;0;1;0;5;1;unknown;x
Tank-Nielsen;9610;NOR;3;0;1;0;5;1;unknown;x
Smith-Johansen;9611;NOR;3;0;1;0;5;1;unknown;x
