NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Saunders;58000;NZL;0;0;3;0;5;2;unknown;x
Barrowclough;58001;NZL;3;0;1;0;5;0;unknown;x
Duigan;58002;NZL;1;0;2;0;5;0;unknown;x
Freyberg;58003;NZL;3;0;2;0;5;0;freyberg_bernhard_nzl;x
Parkinson;58004;NZL;3;0;1;0;5;0;unknown;x
Puttick;58005;NZL;1;0;3;0;5;0;unknown;x
Weir;58006;NZL;3;0;1;0;5;0;unknown;x
Cunningham;58007;NZL;3;0;1;0;5;0;unknown;x
Wilder;58008;NZL;3;0;1;0;5;0;unknown;x
Inglis;58009;NZL;3;0;1;0;5;0;unknown;x
Falconer;58010;NZL;3;0;1;0;5;0;unknown;x
