Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
H. Guisan;129001;SCH;0;0;3;0;5;0;guisan_henri_sch;x
R. Lardelli;129002;SCH;2;0;1;0;5;0;unknown;x
J. Borel;129003;SCH;3;0;1;0;5;0;borel_jules_sch;x
U. Wille;129004;SCH;1;58;1;0;5;0;unknown;x
F. Prisi;129005;SCH;2;0;1;0;5;0;prisi_friedrich_sch;x
J. Labhart;129006;SCH;2;0;1;0;5;0;unknown;x
R. von Graffenried;129007;SCH;3;0;0;0;5;0;vongraffenried_rene_sch;x
I. Gugger;129008;SCH;3;0;0;0;5;0;gugger_ivo_sch;x
W. Jahn;129009;SCH;3;0;0;0;5;0;jahn_walter_sch;x
P. Bardet;129010;SCH;3;0;0;0;5;2;bardet_phillippe_sch;x
H. Bandi;129011;SCH;3;0;1;0;5;2;bandi_hans_sch;x
F. Rihner;129012;SCH;3;0;3;0;5;2;rihner_fritz_sch;x
H. Fluckiger;129013;SCH;3;0;0;0;5;0;fluckiger_hermann_sch;x
H. Constam;129014;SCH;3;0;3;0;5;0;constam_herbert_sch;x
