Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Abakumov;9802;SOV;3;0;1;0;5;0;unknown;x
Abilov;9803;SOV;3;0;1;0;5;0;unknown;x
Abramidze;9804;SOV;3;0;1;0;5;0;unknown;x
T.P. Abramov;9805;SOV;3;0;1;0;5;0;unknown;x
V.L. Abramov;9806;SOV;3;0;1;0;5;0;unknown;x
Absaliamov;9807;SOV;2;0;1;0;5;0;unknown;x
Afanasiev;9808;SOV;3;0;1;0;5;0;unknown;x
Afonin;9809;SOV;2;0;1;0;5;0;unknown;x
Afrosimov;9810;SOV;1;0;2;0;5;0;unknown;x
Akhliustin;9811;SOV;2;0;1;0;5;0;unknown;x
Akhmanov;9812;SOV;2;0;1;0;5;0;unknown;x
Akimenko;9813;SOV;2;0;2;0;5;0;unknown;x
Akimoshkin;9814;SOV;3;0;1;0;5;0;unknown;x
A.I. Akimov;9815;SOV;2;0;1;0;5;0;unknown;x
S.D. Akimov;9816;SOV;2;0;1;0;5;0;unknown;x
Aknazarian;9817;SOV;3;0;1;0;5;0;unknown;x
Alaverdov;9818;SOV;3;0;1;0;5;0;unknown;x
Alekhin;9819;SOV;3;0;2;0;5;0;unknown;x
G.A. Aleksandrov;9820;SOV;3;0;1;0;5;0;unknown;x
P.A. Aleksandrov;9821;SOV;3;0;1;0;5;0;unknown;x
S.S. Aleksandrov;9822;SOV;3;0;1;0;5;0;unknown;x
I.P. Alekseenko;9823;SOV;2;0;1;0;5;0;unknown;x
M.S. Alekseenko;9824;SOV;1;0;2;0;5;0;unknown;x
V.L. Alekseenko;9825;SOV;3;0;1;0;5;0;unknown;x
A.N. Alekseev;9826;SOV;3;0;1;0;5;0;unknown;x
D.F. Alekseev;9827;SOV;2;0;2;0;5;0;unknown;x
I.I. Alekseev;9828;SOV;3;0;1;0;5;0;unknown;x
L.N. Alekseev;9829;SOV;2;0;1;0;5;0;unknown;x
V.M. Alekseev;9830;SOV;2;0;1;0;5;0;unknown;x
Z.N. Alekseev;9831;SOV;2;0;2;0;5;0;unknown;x
A.I. Alferov;9832;SOV;3;0;1;0;5;0;unknown;x
I.P. Alferov;9833;SOV;2;0;1;0;5;0;unknown;x
P.F. Alferov;9834;SOV;3;0;1;0;5;0;unknown;x
P.N. Alferov;9835;SOV;3;0;1;0;5;0;unknown;x
Aliabushev;9836;SOV;3;0;1;0;5;0;unknown;x
Aliabekov;9837;SOV;3;0;1;0;5;0;unknown;x
