Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Vega;3400;SPA;3;0;3;0;5;0;unknown;x
Aranda;3401;SPA;3;0;2;0;3;0;unknown;x
Asensio;3402;SPA;3;0;3;0;5;0;unknown;x
Barrón;3403;SPA;3;0;2;0;5;0;unknown;x
Beigbéder;3404;SPA;3;0;2;2;5;0;unknown;x
Cabanellas;3405;SPA;1;0;2;2;4;0;unknown;x
Castejón;3406;SPA;3;0;2;0;5;0;unknown;x
Dávila;3407;SPA;2;0;2;1;5;0;unknown;x
Franco;3408;SPA;1;0;4;4;5;0;franco_francisco2_spa;x
Morato;3409;SPA;3;0;2;0;5;2;unknown;x
Valiño;3410;SPA;3;0;3;1;5;0;unknown;x
Kindelán;3411;SPA;2;0;3;2;5;2;unknown;x
López-Pinto;3412;SPA;2;0;3;2;5;0;unknown;x
Mola;3413;SPA;1;0;5;4;5;0;unknown;x
Monasterio;3414;SPA;2;0;2;2;5;0;unknown;x
Moreno;3415;SPA;1;0;3;0;5;1;unknown;x
Moscardó;3416;SPA;3;0;2;3;5;0;unknown;x
Muñoz;3417;SPA;3;0;3;0;5;0;unknown;x
Orgaz;3418;SPA;2;0;2;0;3;0;unknown;x
Queipo de Llano;3419;SPA;1;0;4;0;5;0;unknown;x
Sáenz Buruaga;3420;SPA;3;0;2;0;5;0; unknown;x
Saliquet;3421;SPA;2;0;2;0;5;0;unknown;x
Solchaga;3422;SPA;3;0;3;0;4;0;unknown;x
Varela;3423;SPA;1;0;3;2;4;0;unknown;x
