Name;ID;Country;Rank;Traits;Skill;Experience;Loyalty;Type;Picture;x
Asensio;3000;SPR;3;0;2;0;3;0;unknown;x
Bayo;3001;SPR;3;0;1;0;5;0;unknown;x
Buiza;3002;SPR;1;0;1;0;3;1;unknown;x
Casado;3003;SPR;3;0;1;0;3;0;unknown;x
Gamir;3004;SPR;2;0;0;0;5;0;unknown;x
El Campesino;3005;SPR;3;0;1;0;4;0;unknown;x
Sarabia;3006;SPR;2;0;3;0;5;0;unknown;x
Cisneros;3007;SPR;1;0;3;3;5;2;unknown;x
Kléber;3008;SPR;3;0;2;0;5;0;unknown;x
Líster;3009;SPR;3;0;3;0;5;0;unknown;x
Llano;3010;SPR;2;0;2;0;4;0;unknown;x
Mangada;3011;SPR;3;0;2;0;5;0;unknown;x
Cabrera;3012;SPR;2;0;2;0;3;0;unknown;x
Menéndez;3013;SPR;3;0;2;0;5;0;unknown;x
Miaja;3014;SPR;1;0;4;3;5;0;unknown;x
Guilloto;3015;SPR;3;0;3;0;5;0;unknown;x
Pozas;3016;SPR;2;0;3;0;5;0;unknown;x
Rojo;3017;SPR;3;0;4;0;5;0;unknown;x
Tagueña;3018;SPR;3;0;3;0;5;0;unknown;x
Ubieta;3019;SPR;2;0;1;0;4;1; unknown;x
Vega;3020;SPR;3;0;2;0;5;0;unknown;x
Villalba;3021;SPR;3;0;1;0;4;0;unknown;x
