NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
A.A. White;60379;USA;3;0;1;0;5;0;unknown;x
A.C. Smith;60351;USA;3;0;1;0;5;0;unknown;x
A.M. Jones;60266;USA;3;0;1;0;5;0;unknown;x
A.M. Patch;60319;USA;1;4;2;0;5;0;patch_alexander2_usa;x
A.T. Brown;60076;USA;3;0;1;0;5;0;unknown;x
A.W. Jones;60265;USA;3;0;1;0;5;0;unknown;x
Adams;60000;USA;1;0;2;0;5;0;unknown;x
Adams;60001;USA;3;0;1;0;5;0;unknown;x
Alexander;60002;USA;3;0;1;0;5;0;patch_alexander3_usa;x
Alfonte;60003;USA;3;0;1;0;5;0;unknown;x
Allan;60006;USA;3;0;1;0;5;0;unknown;x
Allen;60004;USA;3;0;2;0;5;0;unknown;x
Allen;60005;USA;3;0;1;0;5;0;unknown;x
Almond;60007;USA;3;0;1;0;5;0;unknown;x
Althaus;60008;USA;3;0;1;0;5;0;unknown;x
Andersen;60009;USA;3;0;1;0;5;0;unknown;x
Anderson;60010;USA;3;0;1;0;5;0;unknown;x
Anderson;60011;USA;2;0;1;0;5;0;unknown;x
Anderson;60012;USA;2;0;2;0;5;0;unknown;x
Anderson;60398;USA;3;0;2;0;5;1;unknown;x
Andrus;60013;USA;3;0;1;0;5;0;unknown;x
Ankcorn;60014;USA;3;0;1;0;5;0;unknown;x
Arms;60015;USA;3;0;1;0;5;0;unknown;x
Armstrong;60016;USA;3;0;1;0;5;0;unknown;x
Arnold;60017;USA;3;0;2;0;5;0;unknown;x
Arnold;60018;USA;2;0;3;0;5;0;unknown;x
Arnold;60428;USA;0;32768;3;0;5;2;arnold_henry3_usa;x
Arrowsmith;60019;USA;3;0;1;0;5;0;unknown;x
B. Campbell;60097;USA;3;0;1;0;5;0;unknown;x
B.C. Clark;60117;USA;3;0;2;0;5;0;unknown;x
B.E. Moore;60309;USA;3;0;1;0;5;0;unknown;x
B.O. Davis;60157;USA;3;0;1;0;5;0;unknown;x
Baade;60020;USA;3;0;1;0;5;0;unknown;x
Badger;60021;USA;3;0;1;0;5;0;unknown;x
Baehr;60022;USA;3;0;2;0;5;0;unknown;x
Baird;60023;USA;3;0;1;0;5;0;unknown;x
Baker;60024;USA;3;0;1;0;5;0;unknown;x
Baker;60423;USA;3;0;2;0;5;1;unknown;x
Baldwin;60025;USA;3;0;1;0;5;0;unknown;x
Barker;60026;USA;3;0;2;0;5;0;unknown;x
Barnes;60027;USA;3;0;1;0;5;0;unknown;x
Barnett;60028;USA;3;0;1;0;5;0;unknown;x
Barnett;60029;USA;3;0;1;0;5;0;unknown;x
Barnwell;60030;USA;2;0;1;0;5;0;unknown;x
Barr;60031;USA;1;0;3;0;5;0;unknown;x
Barrett;60032;USA;3;0;1;0;5;0;unknown;x
Barton;60033;USA;2;0;2;0;5;0;unknown;x
Beasly;60034;USA;3;0;1;0;5;0;unknown;x
Beiderlinden;60035;USA;3;0;1;0;5;0;unknown;x
Beightler;60036;USA;3;0;2;0;5;0;unknown;x
Bellinger;60410;USA;3;0;2;0;5;1;unknown;x
Benedict;60037;USA;2;0;2;0;5;0;unknown;x
Berry;60038;USA;3;0;1;0;5;0;unknown;x
Bidwell;60401;USA;3;0;1;0;5;1;unknown;x
Birkhead;60039;USA;3;0;1;0;5;0;unknown;x
Birks;60040;USA;3;0;1;0;5;0;unknown;x
Bissell;60041;USA;3;0;1;0;5;0;bissel_usa;x
Bixby;60042;USA;3;0;1;0;5;0;unknown;x
Black;60043;USA;3;0;1;0;5;0;unknown;x
Black;60044;USA;1;0;2;0;5;0;unknown;x
Blakeley;60045;USA;3;0;2;0;5;0;unknown;x
Blood;60046;USA;2;0;1;0;5;0;unknown;x
Blount;60047;USA;3;0;1;0;5;0;unknown;x
Bluemel;60048;USA;3;0;1;0;5;0;unknown;x
Boatner;60049;USA;3;0;1;0;5;0;unknown;x
Bohn;60050;USA;2;0;2;0;5;0;unknown;x
Bolling;60051;USA;3;0;1;0;5;0;unknown;x
Bolte;60052;USA;3;0;1;0;5;0;unknown;x
Bonesteel;60053;USA;3;0;2;0;5;0;bonesteel_charles_usa;x
Booth;60054;USA;3;0;3;0;5;0;unknown;x
Boudinot;60055;USA;3;0;1;0;5;0;unknown;x
Bowen;60056;USA;2;0;2;0;5;0;unknown;x
Bowman;60057;USA;2;0;2;0;5;0;unknown;x
Bowman;60058;USA;3;0;1;0;5;0;unknown;x
Boyd;60059;USA;3;0;1;0;5;0;unknown;x
Boye;60060;USA;3;0;1;0;5;0;unknown;x
Bradford;60061;USA;3;0;1;0;5;0;unknown;x
Bradford;60062;USA;3;0;1;0;5;0;unknown;x
Bradley;60439;USA;3;0;1;0;5;2;unknown;x
Bradshaw;60066;USA;3;0;1;0;5;0;unknown;x
Brainard;60389;USA;1;0;2;0;5;1;unknown;x
Brann;60067;USA;3;0;1;0;5;0;unknown;x
Braun;60068;USA;3;0;1;0;5;0;unknown;x
Brett;60070;USA;3;0;1;0;5;0;unknown;x
Brewer;60069;USA;3;0;1;0;5;0;unknown;x
Brink;60071;USA;3;0;1;0;5;0;unknown;x
Brittingham;60072;USA;1;0;2;0;5;0;unknown;x
Brock;60073;USA;3;0;1;0;5;0;unknown;x
Brooks;60074;USA;2;0;2;0;5;0;unknown;x
Brooks;60435;USA;3;0;1;0;5;2;unknown;x
Brougher;60075;USA;3;0;1;0;5;0;unknown;x
Brown;60425;USA;2;0;2;0;5;1;unknown;x
Bruce;60081;USA;3;0;2;0;5;0;unknown;x
Brush;60082;USA;3;0;1;0;5;0;unknown;x
Bryden;60083;USA;2;0;2;0;5;0;unknown;x
Bucher;60084;USA;3;0;1;0;5;0;unknown;x
Buckner;60085;USA;3;32;1;0;5;0;buckner_simon_usa;x
Buechler;60086;USA;3;0;1;0;5;0;unknown;x
Bull;60087;USA;2;0;2;0;5;0;unknown;x
Burress;60090;USA;3;0;2;0;5;0;unknown;x
Busbee;60091;USA;3;0;1;0;5;0;unknown;x
Butler;60092;USA;3;0;1;0;5;0;unknown;x
Byers;60093;USA;3;0;2;0;5;0;unknown;x
C.A. Martin;60300;USA;3;0;1;0;5;0;unknown;x
C.C. Brown;60077;USA;2;0;1;0;5;0;unknown;x
Caffey;60094;USA;3;0;1;0;5;0;unknown;x
Camm;60095;USA;3;0;1;0;5;0;unknown;x
Camp;60096;USA;3;0;1;0;5;0;unknown;x
Candee;60445;USA;3;0;1;0;5;2;unknown;x
Canham;60099;USA;3;0;2;0;5;0;unknown;x
Cannon;60100;USA;2;0;1;0;5;0;unknown;x
Carrington;60101;USA;3;0;1;0;5;0;unknown;x
Carter;60102;USA;3;0;1;0;5;0;unknown;x
Case;60103;USA;3;0;1;0;5;0;unknown;x
Chamberlin;60105;USA;3;0;1;0;5;0;unknown;x
Chandler;60106;USA;3;0;1;0;5;0;unknown;x
Chapin;60107;USA;3;0;1;0;5;0;unknown;x
Chapman;60104;USA;3;0;2;0;5;0;unknown;x
Chase;60108;USA;3;0;1;0;5;0;unknown;x
Cheshire;60109;USA;3;0;1;0;5;0;unknown;x
Cheves;60110;USA;3;0;1;0;5;0;unknown;x
Christian;60111;USA;3;0;1;0;5;0;unknown;x
Christiansen;60112;USA;3;0;1;0;5;0;unknown;x
Church;60113;USA;3;0;2;0;5;0;unknown;x
Chynoweth;60114;USA;1;0;2;0;5;0;unknown;x
Clarkson;60118;USA;2;0;2;0;5;0;unknown;x
Cleland;60119;USA;3;0;1;0;5;0;unknown;x
Clemens;60120;USA;3;0;1;0;5;0;unknown;x
Cohen;60422;USA;3;0;2;0;5;1;unknown;x
