NAME;ID;COUNTRY;RANK;TRAITS;SKILL;EXPERIENCE;LOYALTY;TYPE;PICTURE;x
Adamocic;46000;YUG;3;0;1;0;3;0;unknown;x
Alimpic;46001;YUG;3;0;1;0;3;0;unknown;x
Antic;46002;YUG;3;0;1;0;4;0;unknown;x
Brasic;46003;YUG;1;0;2;0;5;0;unknown;x
Cukavac;46004;YUG;1;0;1;0;4;0;unknown;x
Dimitrijevic;46005;YUG;3;0;1;0;2;0;unknown;x
Jankovic;46006;YUG;3;0;1;0;4;0;unknown;x
Kalafatovic;46007;YUG;2;0;1;0;3;0;unknown;x
Kukavicic;46008;YUG;3;0;1;0;4;0;unknown;x
Ljotic;46009;YUG;3;0;1;0;4;0;unknown;x
Maglic;46010;YUG;1;0;1;0;5;0;unknown;x
Majstorovic;46011;YUG;3;0;1;0;3;0;unknown;x
Majstorovic;46012;YUG;3;0;1;0;2;0;unknown;x
Maric;46013;YUG;1;0;3;0;5;0;unknown;x
Mihajlovic;46014;YUG;3;0;1;0;4;0;mihailovic_dragoliub_yug;x
Milicevic;46015;YUG;2;0;1;0;3;0;unknown;x
Miljkovic;46016;YUG;1;0;1;0;4;0;unknown;x
Musicki;46017;YUG;2;0;2;0;5;0;unknown;x
Nedeljkovic;46018;YUG;1;0;1;0;4;0;unknown;x
Nedic;46019;YUG;1;0;2;0;4;0;unknown;x
Petrovic;46020;YUG;1;0;1;0;4;0;unknown;x
Predic;46021;YUG;3;0;1;0;3;0;unknown;x
Radenkovic;46022;YUG;1;0;1;0;3;0;unknown;x
Rupnik;46023;YUG;2;0;1;0;4;0;unknown;x
Stojanovic;46024;YUG;3;0;1;0;3;0;unknown;x
Tonic;46025;YUG;3;0;1;0;3;0;unknown;x
Trifunovic;46026;YUG;1;0;2;0;4;0;unknown;x
Zelenika;46027;YUG;2;0;1;0;3;0;unknown;x
Mirkovic;46028;YUG;1;0;2;0;3;2;unknown;x
Rupcic;46029;YUG;3;0;1;0;3;2;unknown;x
Djordjevic;46030;YUG;3;0;1;0;3;2;unknown;x
Obuljen;46031;YUG;3;0;1;0;3;2;unknown;x
Vukcevic;46032;YUG;3;0;1;0;3;2;unknown;x
