ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
32001;Head of State;Zog I;NA;PA FA;NA;NA;zog_I_alb;x
32002;Head of Government;Mehdi Frashëri;NA;PA;NA;NA;unknown;x
32003;Foreign Minister;Fuat Aslam;NA;PA;Apologetic Clerk;Medium;unknown;x
32004;Minister of Armament;Rrok Geraj;NA;PA;Corrupt Kleptocrat;Medium;unknown;x
32005;Minister of Security;Eqrem Toto;NA;PA;Crooked Plutocrat;Medium;unknown;x
32006;Head of Military Intelligence;Unknown;NA;PA;Undistinguished Suit;Medium;unknown;x
32007;Chief of Staff;Qemal Komani;NA;PA;Undistinguished Suit;Medium;unknown;x
32008;Chief of Army;Sir Jocelyn Percy;NA;PA;Undistinguished Suit;Medium;unknown;x
32009;Chief of Navy;Unknown;NA;PA;Undistinguished Suit;Medium;unknown;x
32010;Chief of Air Force;Unknown;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
32011;Head of State;Theofan Noli;NA;LWR RS CE LC;NA;NA;unknown;x
32012;Head of Government;Theofan Noli;NA;LC;NA;NA;unknown;x
32013;Foreign Minister;Dervish Duma;NA;LC;Ideological Crusader;Very High;unknown;x
32014;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
32015;Minister of Security;Mustafa Mërlika;NA;LC;Compassionate Gentleman;Very High;unknown;x
32016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
32017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
32018;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
32019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
32020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
32021;Head of State;Tefik Mborja;NA;LC PA FA NS;NA;NA;unknown;x
32022;Head of Government;Tefik Mborja;NA;FA;NA;NA;unknown;x
32023;Foreign Minister;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32024;Minister of Armament;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32025;Minister of Security;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32026;Head of Military Intelligence;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32027;Chief of Staff;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32028;Chief of Army;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32029;Chief of Navy;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
32030;Chief of Air Force;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
32031;Head of State;Ali Kelmendi;NA;LE ST;NA;NA;unknown;x
32032;Head of Government;Omer Nishani;NA;ST;NA;NA;unknown;x
32033;Foreign Minister;Omer Nishani;NA;ST;Ideological Crusader;Undying;unknown;x
32034;Minister of Armament;Enver Hoxha;NA;ST;Undistinguished Suit;Very High;hoxha_enver_alb.jpg;x
32035;Minister of Security;Pandi Kristo;NA;LE;Prince of Terror;Medium;unknown;x
32036;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
32037;Chief of Staff;Mehmet Shehu;NA;ST;School of Mass Combat;Very High;unknown;x
32038;Chief of Army;Mehmet Shehu;NA;ST;Guns and Butter Doctrine;Very High;unknown;x
32039;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
32040;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
32041;Head of State;Llazar Fundua;39;RS LWR;NA;NA;unknown;x
32042;Head of State;Omer Nishani;39;LE ST;NA;NA;unknown;x
32043;Head of State;Ibrahim Biçaku;43;PA FA NS;NA;NA;unknown;x
32044;Head of State;Sejfulla Malëshova;43;RS LWR LE;NA;NA;unknown;x
32045;Head of Government;Kostaq Kota;36;PA;NA;NA;unknown;x
32046;Head of Government;Xhafer Ypi;36;LC;NA;NA;unknown;x
32047;Head of Government;Shefqet Vërlaci;39;PA;NA;NA;unknown;x
32048;Head of Government;Enver Hoxha;41;ST;NA;NA;hoxha_enver_alb;x
32049;Head of Government;Jup Kazazi;41;FA;NA;NA;unknown;x
32050;Head of Government;Mustafa Mërlika;41;LC;NA;NA;unknown;x
32051;Head of Government;Mehdi Frashëri;42;PA;NA;NA;unknown;x
32052;Head of Government;Eqrem Libohova;43;FA;NA;NA;unknown;x
32053;Head of Government;Kol Bibë Mirakaj;43;FA;NA;NA;unknown;x
32054;Head of Government;Maliq Bushati;43;FA;NA;NA;unknown;x
32055;Head of Government;Rexhep Mitrovica;43;LC;NA;NA;unknown;x
32056;Head of Government;Fiqri Dine;44;PA;NA;NA;unknown;x
32057;Head of Government;Ibrahim Biçaku;44;PA;NA;NA;unknown;x
