BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
34001;Head of State;Getulio Vargas;NA;PA LC CE;NA;NA;vargas_getulio_bra;x
34002;Head of Government;Getulio Vargas;NA;PA;NA;NA;vargas_getulio_bra;x
34003;Foreign Minister;Oswaldo Aranha;NA;CE;Biased Intellectual;Medium;unknown;x
34004;Minister of Armament;Souza Costa;NA;LC;Administrative Genius;High;unknown;x
34005;Minister of Security;Marcondes Filho;NA;PA;Crime Fighter;High;unknown;x
34006;Head of Military Intelligence;Filinto Muller;NA;PA;Political Specialist;Very High;unknown;x
34007;Chief of Staff;Gaspar Dutra;NA;PA;School of Defense;Medium;unknown;x
34008;Chief of Army;Goes Monteiro;NA;PA;Static Defense Doctrine;Medium;unknown;x
34009;Chief of Navy;Aristides Guilhem;NA;LC;Open Seas Doctrine;Medium;unknown;x
34010;Chief of Air Force;Salgado Filho;NA;LC;Army Aviation Doctrine;Medium;unknown;x
;Shadow LC Cabinet;;;;;;;x
34011;Head of State;Gaspar Dutra;NA;LC;NA;NA;unknown;x
34012;Head of Government;Gaspar Dutra;NA;LC;NA;NA;unknown;x
34013;Foreign Minister;Raul Fernandes;NA;CE;Great Compromiser;Medium;unknown;x
34014;Minister of Armament;Gastão Vidigal;NA;LC;Resource Industrialist;High;unknown;x
34015;Minister of Security;Costa Neto;NA;CE;Compassionate Gentleman;Medium;unknown;x
34016;Head of Military Intelligence;Costa Neto;NA;CE;Naval Intelligence Specialist;Medium;unknown;x
34017;Chief of Staff;Goes Monteiro;NA;PA;School of Defense;High;unknown;x
34018;Chief of Army;Goes Monteiro;NA;PA;Static Defense Doctrine;High;unknown;x
34019;Chief of Navy;Sylvio de Noronha;NA;LC;Open Seas Doctrine;High;unknown;x
34020;Chief of Air Force;Figueira de Almeida;NA;LC;Army Aviation Doctrine;High;unknown;x
;Shadow CE Cabinet;;;;;;;x
34021;Head of State;Eduardo Gomes;NA;LC CE;NA;NA;unknown;x
34022;Head of Government;Eduardo Gomes;NA;CE;NA;NA;unknown;x
34023;Foreign Minister;Oswaldo Aranha;NA;CE;Biased Intellectual;Medium;unknown;x
34024;Minister of Armament;Americo de Almeida;NA;CE;Resource Industrialist;High;unknown;x
34025;Minister of Security;Mesquita da Costa;NA;LC;Silent Lawyer;High;unknown;x
34026;Head of Military Intelligence;Mesquita da Costa;NA;LC;Dismal Enigma;High;unknown;x
34027;Chief of Staff;Teixeira Lott;NA;CE;School of Fire Support;High;unknown;x
34028;Chief of Army;Teixeira Lott;NA;CE;Static Defense Doctrine;High;unknown;x
34029;Chief of Navy;Jorge Martins;NA;CE;Base Control Doctrine;Medium;unknown;x
34030;Chief of Air Force;Nero Moura;NA;CE;Vertical Envelopment Doctrine;Medium;unknown;x
