BUR;Shadow Democratic Cabinet;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
80001;Head of State;Sao Shwe Thaik ;NA;PA LC CE RS LWR LE;NA;NA;unknown;x
80002;Head of Government;Aung San;NA;RS;NA;NA;unknown;x
80003;Foreign Minister;Thakin U Nu;NA;PA;Ideological Crusader;Medium;unknown;x
80004;Minister of Armament;Aung Gyi;NA;RS;Laissez-Faires Capitalist;Very High;unknown;x
80005;Minister of Security;Aung San;NA;RS;Compassionate Gentleman;Very High;unknown;x
80006;Head of Military Intelligence;Hla Myaing;NA;LWR;Dismal Enigma;High;unknown;x
80007;Chief of Staff;Sao Gnar Kham;NA;LC;School of Defence;Low;unknown;x
80008;Chief of Army;Ba Thein Tin;NA;LC;Elastic Defence Doctrine;Low;unknown;x
80009;Chief of Navy;Maung Maung Khin ;NA;CE;Base Control Doctrine;High;unknown;x
80010;Chief of Air Force;Myint Swe;NA;CE;Army Aviation Doctrine;Medium;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
80011;Head of State;Ba Maw;NA;FA PA LC CE RS LWR;NA;NA;unknown;x
80012;Head of Government;Ba Maw;NA;FA;NA;NA;unknown;x
80013;Foreign Minister;Thakin U Nu;NA;PA;Ideological Crusader;Low;unknown;x
80014;Minister of Armament;Aung San;NA;RS;Administrative Genius;Very Low;unknown;x
80015;Minister of Security;Ne Win;NA;LWR;Efficient Sociopath;Very Low;unknown;x
80016;Head of Military Intelligence;Keneko Toyoji;NA;FA;Political Specialist;Very High;unknown;x
80017;Chief of Staff;Suzuki Keiji ;NA;FA;School of Psychology;Very High;unknown;x
80018;Chief of Army;Ne Win;NA;LWR;Armoured Spearhead Doctrine;Very Low;unknown;x
80019;Chief of Navy;Heitaro Kimura                        ;NA;FA;Base Control Doctrine;Very High;unknown;x
80020;Chief of Air Force;Suzuki Keiji ;NA;FA;Vertical Envelopment Doctrine;Very High;unknown;x
;Shadow Communist Cabinet;;;;;;;x
80021;Head of State;Ne Win;NA;PA LC CE RS LWR LE ST;NA;NA;unknown;x
80022;Head of Government;Thakin Soe ;NA;LE;NA;NA;unknown;x
80023;Foreign Minister;Aung San;NA;RS;Ideological Crusader;High;unknown;x
80024;Minister of Armament;Thakin Soe;NA;LE;Administrative Genius;High;unknown;x
80025;Minister of Security;A. N. Ghoshal ;NA;LE;Silent Lawyer;High;unknown;x
80026;Head of Military Intelligence;Hla Myaing;NA;LWR;Dismal Enigma;High;unknown;x
80027;Chief of Staff;Ba Thein Tin;NA;LE;School of Manoeuvre;Medium;unknown;x
