CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
52001;Head of State;Lin Sen;NA;PA;NA;NA;unknown;x
52002;Head of Government;Chiang Kai-shek;NA;PA;NA;NA;kai-shek_chiang_chn;x
52003;Foreign Minister;Wang Ching-Wei;NA;PA;Biased Intellectual;Medium;wang_ching-wei_chn;x
52004;Minister of Armament;Bai Chongxi;NA;PA;Resource Industrialist;Low;unknown;x
52005;Minister of Security;Tai Li;NA;PA;Crooked Plutocrat;Very High;unknown;x
52006;Head of Military Intelligence;Tai Li;NA;PA;Political Specialist;Very High;unknown;x
52007;Chief of Staff;Chiang Kai-shek;NA;PA;School of Manoeuvre;Undying;kai-shek_chiang_chn;x
52008;Chief of Army;Chang Hsiao-liang;NA;PA;Guns and Butter Doctrine;Low;unknown;x
52009;Chief of Navy;Blue Shadow;NA;PA;Undistinguished Suit;Low;unknown;x
52010;Chief of Air Force;Blue Shadow;NA;PA;Undistinguished Suit;Low;unknown;x
;A Cabinet - 1936;ELECT_CHI_1A;;;;;;x
52002;Head of Government;Chiang Kai-shek;NA;PA;NA;NA;kai-shek_chiang_chn;x
52003;Foreign Minister;Wang Ching-Wei;NA;PA;Biased Intellectual;Medium;wang_ching-wei_chn;x
52004;Minister of Armament;Bai Chongxi;NA;PA;Resource Industrialist;Low;unknown;x
52005;Minister of Security;Tai Li;NA;PA;Crooked Plutocrat;Very High;unknown;x
;B Cabinet - 1936;ELECT_CHI_1B;;;;;;x
52011;Head of Government;Kong Xiangxi;NA;PA;NA;NA;unknown;x
52012;Foreign Minister;T. V. Soong;NA;PA;Great Compromiser;Very High;soong_t-v_chn;x
52013;Minister of Armament;Wong Wen-hao;NA;PA;Laissez Faires Capitalist;Medium;unknown;x
52014;Minister of Security;Li-fu Chen;NA;PA;Silent Lawyer;Medium;unknown;x
;A Cabinet - 1940;ELECT_CHI_1A;;;;;;x
52002;Head of Government;Chiang Kai-shek;NA;PA;NA;NA;kai-shek_chiang_chn;x
52003;Foreign Minister;Wang Ching-Wei;NA;PA;Biased Intellectual;Medium;wang_ching-wei_chn;x
52004;Minister of Armament;Bai Chongxi;NA;PA;Resource Industrialist;Low;unknown;x
52005;Minister of Security;Tai Li;NA;PA;Crooked Plutocrat;Very High;unknown;x
;B Cabinet - 1940;ELECT_CHI_2B;;;;;;x
