COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
37001;Head of State;Unknown;NA;PA LC CE RS LWR;NA;NA;unknown;x
37002;Head of Government;Unknown;NA;RS;NA;NA;unknown;x
37003;Foreign Minister;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37004;Minister of Armament;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37005;Minister of Security;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37006;Head of Military Intelligence;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37007;Chief of Staff;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37008;Chief of Army;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37009;Chief of Navy;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
37010;Chief of Air Force;Unknown;NA;RS;Undistinguished Suit;Medium;unknown;x
;A Cabinet - 1937;ELECT_A;;;;;;x
37011;Head of State;Blue Shadow;NA;PA LC CE RS LWR;NA;NA;unknown;x
37012;Head of Government;Blue Shadow;NA;RS;NA;NA;unknown;x
37013;Foreign Minister;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
37014;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
37015;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
;B Cabinet - 1937;ELECT_B;;;;;;x
37016;Head of State;Blue Shadow;NA;PA LC CE RS;NA;NA;unknown;x
37017;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
37018;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
37019;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
37020;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;A Cabinet - 1940;ELECT_A;;;;;;x
37021;Head of State;Blue Shadow;NA;PA LC CE RS LWR;NA;NA;unknown;x
37022;Head of Government;Blue Shadow;NA;RS;NA;NA;unknown;x
37023;Foreign Minister;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
37024;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
37025;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
;B Cabinet - 1940;ELECT_B;;;;;;x
37026;Head of State;Blue Shadow;NA;PA LC CE RS ;NA;NA;unknown;x
37027;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
37028;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
37029;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
37030;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;A Cabinet - 1944;ELECT_A;;;;;;x
37031;Head of State;Blue Shadow;NA;PA LC CE RS LWR;NA;NA;unknown;x
37032;Head of Government;Blue Shadow;NA;RS;NA;NA;unknown;x
37033;Foreign Minister;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
37034;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
37035;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
;B Cabinet - 1944;ELECT_B;;;;;;x
37036;Head of State;Blue Shadow;NA;PA LC CE RS ;NA;NA;unknown;x
37037;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
37038;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
37039;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
37040;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
37041;Head of State;Black Shadow;NA;FA PA LC;NA;NA;unknown;x
37042;Head of Government;Black Shadow;NA;FA;NA;NA;unknown;x
37043;Foreign Minister;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37044;Minister of Armament;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37045;Minister of Security;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37046;Head of Military Intelligence;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37047;Chief of Staff;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37048;Chief of Army;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37049;Chief of Navy;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
37050;Chief of Air Force;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
37051;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
37052;Head of Government;Red Shadow;NA;LE;NA;NA;unknown;x
37053;Foreign Minister;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37054;Minister of Armament;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37055;Minister of Security;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37056;Head of Military Intelligence;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37057;Chief of Staff;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37058;Chief of Army;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37059;Chief of Navy;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
37060;Chief of Air Force;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
