COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
47001;Head of State;Black Shadow;NA;PA;NA;NA;unknown;x
47002;Head of Government;Black Shadow;NA;PA;NA;NA;unknown;x
47003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
47010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
47011;Head of State;Blue Shadow;NA;LC CE RS;NA;NA;unknown;x
47012;Head of Government;Blue Shadow;NA;CE;NA;NA;unknown;x
47013;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
47014;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
47015;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
47016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
47017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
47018;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
47019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
47020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
47021;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
47022;Head of Government;Red Shadow;NA;LWR;NA;NA;unknown;x
47023;Foreign Minister;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
47024;Minister of Armament;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
47025;Minister of Security;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
47026;Head of Military Intelligence;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
47027;Chief of Staff;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
47028;Chief of Army;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
47029;Chief of Navy;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
47030;Chief of Air Force;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
