CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
24001;Head of State;Edvard Beneš;NA;LC CE RS LWR;NA;NA;benes_edvard_cze;x
24002;Head of Government;Milan Hodža;NA;RS;NA;NA;hodza_milan_cze;x
24003;Foreign Minister;Kamil Krofta;NA;RS;Great Compromiser;High;krofta_kamil_cze;x
24004;Minister of Armament;Josef Kalfus;NA;RS;Resource Industrialist;High;unknown;x
24005;Minister of Security;Ivan Derer;NA;RS;Man of the People;Medium;derer_ivan_cze;x
24006;Head of Military Intelligence;František Machník;NA;RS;Logistics Specialist;Very High;machnik_cze;x
24007;Chief of Staff;František Machník;NA;RS;School of Defence;Very High;machnik_cze;x
24008;Chief of Army;Ludvik Krejci;NA;RS;Static Defense Doctrine;Medium;krejci_cze;x
24008;Chief of Navy;Ludvik Krejci;NA;RS;Undistinguished Suite;Medium;krejci_cze;x
24010;Chief of Air Force;Ludvik Krejci;NA;RS;Army Aviation Doctrine;Medium;krejci_cze;x
;A Cabinet - 1936;ELECT_A;;;;;;x
24002;Head of Government;Milan Hodža;NA;RS;NA;NA;hodza_milan_cze;x
24003;Foreign Minister;Kamil Krofta;NA;RS;Great Compromiser;High;krofta_kamil_cze;x
24004;Minister of Armament;Josef Kalfus;NA;RS;Resource Industrialist;High;unknown;x
24005;Minister of Security;Ivan Derer;NA;RS;Man of the People;Medium;derer_ivan_cze;x
;B Cabinet - 1936;ELECT_B;;;;;;x
24011;Head of Government;Emil Hacha;NA;LC;NA;NA;hacha_emil_cze;x
24012;Foreign Minister;Ján Masaryk;NA;LC;General Staffer;Very High;masaryk_jan_cze;x
24013;Minister of Armament;Bohumir Badrác;NA;LC;Infantry Proponent;High;unknown;x
24014;Minister of Security;Ján Cerný;NA;LC;Silent Lawyer;Medium;unknown;x
;A Cabinet - 1940;ELECT_A;;;;;;x
24002;Head of Government;Milan Hodža;NA;RS;NA;NA;hodza_milan_cze;x
24003;Foreign Minister;Kamil Krofta;NA;RS;Great Compromiser;High;krofta_kamil_cze;x
24004;Minister of Armament;Josef Kalfus;NA;RS;Resource Industrialist;High;unknown;x
