ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65001;Head of State;Haile Selassie I;NA;PA LC CE;NA;NA;selassie_haile_eth;x
65002;Head of Government;Haile Selassie I;NA;PA;NA;NA;selassie_haile_eth;x
65003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
65001;Head of State;Haile Selassie I;NA;PA LC CE;NA;NA;selassie_haile_eth;x
65011;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
65012;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
65013;Minister of Armament;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
65014;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
65015;Head of Military Intelligence;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65016;Chief of Staff;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65017;Chief of Army;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65018;Chief of Navy;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
65019;Chief of Air Force;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
65020;Head of State;Red Shadow;NA;LWR LE ST;NA;NA;unknown;x
65021;Head of Government;Red Shadow;NA;LE;NA;NA;unknown;x
65022;Foreign Minister;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65023;Minister of Armament;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65024;Minister of Security;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65025;Head of Military Intelligence;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65026;Chief of Staff;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65027;Chief of Army;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65028;Chief of Navy;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
65029;Chief of Air Force;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
