FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
29001;Head of State;Pehr E. Svinhufvud;NA;LC CE RS;NA;NA;unknown;x
29002;Head of Government;Toivo M. Kivimäki;NA;LC;NA;NA;kivimaki_toivo_fin;x
29003;Foreign Minister;Antti V. Hackzell;NA;LC;Undistinguished Suit;Medium;hackzell_antti_fin;x
29004;Minister of Armament;Arvi A. Oksala;NA;LC;Undistinguished Suit;Medium;unknown;x
29005;Minister of Security;Yrjö W. Puhakka;NA;LC;Undistinguished Suit;Medium;unknown;x
29006;Head of Military Intelligence;Esko Riekki;NA;CE;Dismal Enigma;High;unknown;x
29007;Chief of Staff;KL Oesch;NA;CE;School of Manoeuvre;High;oesch_fin;x
29008;Chief of Army;Hugo Österman;NA;CE;Elastic Defense Doctrine;Medium;osterman_hugo_fin;x
29009;Chief of Navy;Väinö Valve;NA;LC;Base Control Doctrine;High;unknown;x
29010;Chief of Air Force;Jarl Lundqvist;NA;CE;Naval Aviation Doctrine;Very High;unknown;x
;A Cabinet - 1937;ELECT_A;;;;;;x
29011;Head of State;Kyösti Kallio;NA;LC CE RS PA;NA;NA;kalli_koysti_fin;x
29012;Head of Government;Aimo Cajander;NA;CE;NA;NA;cajander_a_fin;x
29013;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
29014;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
29015;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
;B Cabinet - 1937;ELECT_B;;;;;;x
29001;Head of State;Pehr E. Svinhufvud;NA;LC CE RS;NA;NA;unknown;x
29002;Head of Government;Toivo M. Kivimäki;NA;LC;NA;NA;kivimaki_toivo_fin;x
29016;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
29017;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
29018;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
;A Cabinet - 1940;ELECT_A;;;;;;x
29019;Head of State;Risto Ryti;NA;LC CE RS PA;NA;NA;ryti_risto_fin;x
29020;Head of Government;Risto Ryti;NA;CE;NA;NA;ryti_risto_fin;x
29021;Foreign Minister;Väinö A. Tanner;NA;RS;Undistinguished Suit;Medium;tanner_vaino_fin;x
29022;Minister of Armament;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
29023;Minister of Security;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
;B Cabinet - 1940;ELECT_B;;;;;;x
29011;Head of State;Kyösti Kallio;NA;LC CE RS PA;NA;NA;kalli_koysti_fin;x
29024;Head of Government;Kyösti Kallio;NA;CE;NA;NA;kalli_koysti_fin;x
29025;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
29026;Minister of Armament;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
29027;Minister of Security;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
;A Cabinet - 1944;ELECT_B;;;;;;x
29028;Head of State;Carl G. Mannerheim;NA;LC CE RS FA PA;NA;NA;mannerheim_carl_fin;x
29029;Head of Government;Edwin H. Linkomies;NA;PA;NA;NA;linkomies_edwin_fin;x
29030;Foreign Minister;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
29031;Minister of Armament;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
29032;Minister of Security;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;B Cabinet - 1944;ELECT_A;;;;;;x
29019;Head of State;Risto Ryti;NA;LC CE RS PA;NA;NA;ryti_risto_fin;x
29033;Head of Government;Johan W. Rangell;NA;LC;NA;NA;ragnell_johan_fin;x
29034;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
29035;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
29036;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
29037;Head of State;Blue Shadow;NA;NS FA PA;NA;NA;unknown;x
29038;Head of Government;Blue Shadow;NA;FA;NA;NA;unknown;x
29039;Foreign Minister;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29040;Minister of Armament;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29041;Minister of Security;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29042;Head of Military Intelligence;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29043;Chief of Staff;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29044;Chief of Army;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29045;Chief of Navy;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
29046;Chief of Air Force;Blue Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
29047;Head of State;Otto Ville Kuusinen ;NA;LE ST LWR RS;NA;NA;kuusinen_otto-ville_fin;x
29048;Head of Government;Otto Ville Kuusinen ;NA;ST;NA;NA;kuusinen_otto-ville_fin;x
29049;Foreign Minister;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29050;Minister of Armament;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29051;Minister of Security;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29052;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29053;Chief of Staff;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29054;Chief of Army;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29055;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
29056;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
