FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
2001;Head of State;Albert Lebrun;NA;LC CE RS LWR;NA;NA;lebrun_albert_fra;x
2002;Head of Government;Pierre Laval;NA;CE;NA;NA;pierre_laval_fra;x
2003;Foreign Minister;Pierre Laval;NA;CE;Great Compromiser;Undying;pierre_laval_fra;x
2004;Minister of Armament;Jean Fabry;NA;RS;Resource Industrialist;Medium;unknown;x
2005;Minister of Security;Joseph Paganon;NA;RS;Silent Lawyer;Medium;unknown;x
2006;Head of Military Intelligence;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
2007;Chief of Staff;Maurice Gamelin;NA;LC;School of Fire Support;Very High;maurice_gamelin_fra;x
2008;Chief of Army;Maurice Gamelin;NA;LC;Static Defense Doctrine;Very High;maurice_gamelin_fra;x
2009;Chief of Navy;François Darlan;NA;LC;Open Seas Doctrine;High;darlan_jean-francois3_fra;x
2010;Chief of Air Force;Victor Denain;NA;LC;Carpet Bombing Doctrine;Medium;unknown;x
;A Cabinet - 1936;ELECT_A;;;;;;x
2011;Head of Government;Léon Blum;NA;RS;NA;NA;blum_leon_fra;x
2012;Foreign Minister;Edouard Daladier;NA;RS;Great Compromiser;High;daladier_edouard4_fra;x
2013;Minister of Armament;Vincent Auriol;NA;RS;Administrative Genius;High;Vincent_Auriol;x
2014;Minister of Security;Marx Dormoy;NA;RS;Compassionate Gentleman;Medium;Marx_Dormoy;x
;B Cabinet - 1936;ELECT_B;;;;;;x
2002;Head of Government;Pierre Laval;NA;CE;NA;NA;pierre_laval_fra;x
2015;Foreign Minister;Pierre Etienne Flandin;NA;CE;Great Compromiser;Low;france_FLANDIN;x
2004;Minister of Armament;Jean Fabry;NA;RS;Resource Industrialist;Medium;unknown;x
2005;Minister of Security;Joseph Paganon;NA;RS;Silent Lawyer;Medium;unknown;x
;A Cabinet - 1940;ELECT_B;;;;;;x
2016;Head of Government;Paul Reynaud;NA;CE;NA;NA;Reynaud;x
2017;Foreign Minister;Paul Reynaud;NA;CE;Ideological Crusader;Undying;Reynaud;x
2018;Minister of Armament;Raoul Dautry;NA;CE;Theoretical Scientist;High;unknown;x
2019;Minister of Security;Henri Roy;NA;CE;Man of the People;Medium;unknown;x
;B Cabinet - 1940;ELECT_A;;;;;;x
2011;Head of Government;Léon Blum;NA;RS;NA;NA;blum_leon_fra;x
2012;Foreign Minister;Edouard Daladier;NA;RS;Great Compromiser;High;daladier_edouard4_fra;x
2013;Minister of Armament;Vincent Auriol;NA;RS;Administrative Genius;High;Vincent_Auriol;x
2014;Minister of Security;Marx Dormoy;NA;RS;Compassionate Gentleman;Medium;Marx_Dormoy;x
;A Cabinet - 1944;ELECT_A;;;;;;x
2020;Head of Government;Charles de Gaulle;NA;CE;NA;NA;degaulle_charles_fra;x
2021;Foreign Minister;George Bidault;NA;RS;Great Compromiser;High;bidault_georges2_fra;x
2013;Minister of Armament;Vincent Auriol;NA;RS;Administrative Genius;High;Vincent_Auriol;x
2022;Minister of Security;Adrien Tixier;NA;RS;Compassionate Gentleman;Very High;unknown;x
;B Cabinet - 1944;ELECT_B;;;;;;x
2016;Head of Government;Paul Reynaud;NA;CE;NA;NA;Reynaud;x
2017;Foreign Minister;Paul Reynaud;NA;CE;Ideological Crusader;Undying;Reynaud;x
2018;Minister of Armament;Raoul Dautry;NA;CE;Theoretical Scientist;High;unknown;x
2019;Minister of Security;Henri Roy;NA;CE;Man of the People;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
2023;Head of State;Maurice Thorez;NA;ST LE LWR;NA;NA;Maurice_Thorez;x
2024;Head of Government;Jacques Duclos;NA;ST;NA;NA;unknown;x
2025;Foreign Minister;Jacques Duclos;NA;ST;Ideological Crusader;Very High;unknown;x
2026;Minister of Armament;George Lévy;NA;ST;Resource Industrialist;Medium;levy_jean-pierre_fra;x
2027;Minister of Security;Lucien Micol;NA;ST;Crime Fighter;High;unknown;x
2028;Head of Military Intelligence;Waldeck Rochet;NA;ST;Dismal Enigma;High;rochet;x
2029;Chief of Staff;André Marty;NA;LWR;School of Fire Support;Medium;marty_andre_fra;x
2030;Chief of Army;André Marty;NA;LWR;Guns and Butter Doctrine;Medium;marty_andre_fra;x
2031;Chief of Navy;Marcel Cachin;NA;ST;Indirect Approach Doctrine;Medium;Marcel_Cachin;x
2032;Chief of Air Force;Marcel Gitton;NA;ST;Air Superiority Doctrine;Medium;unknown;x
;Replacements;;;;;;;x
2033;Head of State;Vincent Auriol;46;LC CE RS LWR;NA;NA;Vincent_Auriol;x
2034;Head of Government;Albert Sarraut;36;CE;NA;NA;Albert Sarraut;x
2035;Head of Government;Camille Chautemps;37;CE;NA;NA;Camille_Chautemps;x
2036;Head of Government;Edouard Daladier;38;RS;NA;NA;daladier_edouard4_fra;x
2037;Foreign Minister;Yvon Delbos;38;RS;Biased Intellectual;Medium;unknown;x
