GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
1;Head of State;Adolf Hitler;NA;NS FA;NA;NA;hitler_adolf_ger;x
2;Head of Government;Adolf Hitler;NA;NS;NA;NA;hitler_adolf_ger;x
3;Foreign Minister;Constantin v. Neurath;NA;PA;Great Compromiser;Medium;constantin_neurath_ger;x
4;Minister of Armament;Hjalmar Schacht;NA;PA;Administrative Genius;Low;hjalmar_schacht_ger;x
5;Minister of Security;Wilhelm Frick;NA;NS;Prince of Terror;High;frick_wilhelm_ger;x
6;Head of Military Intelligence;Wilhelm Canaris;NA;PA;Dismal Enigma;Medium;canaris_wilhelm2_ger;x
7;Chief of Staff;Ludwig Beck;NA;PA;School of Defense;Low;ludwig_beck_ger;x
8;Chief of Army;Werner von Fritsch;NA;PA;Static Defense Doctrine;Low;werner_fritsch_ger;x
9;Chief of Navy;Erich Raeder;NA;FA;Decisive Naval Doctrine;High;raeder_erich_ger;x
10;Chief of Air Force;Hermann G�ring;NA;NS;Army Aviation Doctrine;Very High;goring_hermann3_ger;x
;Shadow LC Cabinet;;;;;;;x
11;Head of State;Ludwig Beck;NA;PA LC;NA;NA;ludwig_beck_ger;x
12;Head of Government;Carl Friedrich Goerdeler;NA;PA;NA;NA;goerdeler_karl-friedrich_ger;x
13;Foreign Minister;Hans Gisevius;NA;PA;Undistinguished Suit;Medium;hans_gisevius_ger;x
14;Minister of Armament;Claus Schenk von Stauffenberg;NA;PA;Undistinguished Suit;Medium;schenk_stauffenberg_ger;x
15;Minister of Security;Julius Leber;NA;PA;Undistinguished Suit;Medium;julius_leber_ger;x
16;Head of Military Intelligence;Georg Holmster;NA;PA;Undistinguished Suit;Medium;unknown;x
17;Chief of Staff;Erwin von Witzleben;NA;PA;Undistinguished Suit;Medium;vonwitzleben_erwin2_ger;x
18;Chief of Army;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
19;Chief of Navy;Wilhelm Canaris;NA;PA;Undistinguished Suit;Medium;canaris_wilhelm2_ger;x
20;Chief of Air Force;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow CE Cabinet;;;;;;;x
21;Head of State;Blue Shadow;NA;RS CE LC;NA;NA;unknown;x
22;Head of Government;Blue Shadow;NA;CE;NA;NA;unknown;x
23;Foreign Minister;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
24;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
25;Minister of Security;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
26;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
27;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
28;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
29;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
30;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
