GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18001;Head of State;Georgios II;NA;PA LC CE;NA;NA;george_II2_gre;x
18002;Head of Government;Constantinos Demertzis;NA;PA;NA;NA;unknown;x
18003;Foreign Minister;Constantinos Demertzis;NA;PA;Undistinguished Suit;Very High;unknown;x
18004;Minister of Armament;Georgios Mantzavinos;NA;PA;Undistinguished Suit;Medium;unknown;x
18005;Minister of Security;Georgios Logothetis;NA;PA;Undistinguished Suit;Medium;unknown;x
18006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
18007;Chief of Staff;Alexandros Papagos;NA;PA;School of Defence;Low;papagos_alexander_gre;x
18008;Chief of Army;Alexandros Papagos;NA;PA;Elastic Defence Doctrine;Low;papagos_alexander_gre;x
18009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
18010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
18011;Head of State;Georgios II;NA;PA LC CE;NA;NA;george_II2_gre;x
18012;Head of Government;Sophocles Venizelos;NA;CE;NA;NA;unknown;x
18013;Foreign Minister;Sophocles Venizelos;NA;CE;Great Compromiser;Very High;unknown;x
18014;Minister of Armament;Themistocles Sophoulis;NA;LC;Undistinguished Suit;High;unknown;x
18015;Minister of Security;Georgios Papandreou;NA;LC;Efficient Sociopath;High;papandreou_george_gre;x
18016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;High;unknown;x
18017;Chief of Staff;Alexandros Papagos;NA;LC;School of Defence;Medium;papagos_alexander_gre;x
18018;Chief of Army;Alexandros Papagos;NA;LC;Elastic Defence Doctrine;Medium;papagos_alexander_gre;x
18019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;High;unknown;x
18020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;High;unknown;x
;Shadow Communist Cabinet;;;;;;;x
18021;Head of State;Alexandros Svolos;NA;LWR;NA;NA;unknown;x
18022;Head of Government;Nikos Zahariadis;NA;LWR;NA;NA;unknown;x
18023;Foreign Minister;Nikos Zahariadis;NA;LWR;Ideological Crusader;Very High;unknown;x
18024;Minister of Armament;Giorgis Siantos;NA;LWR;Undistinguished Suit;High;unknown;x
18025;Minister of Security;Giannes Ioannides;NA;LWR;Undistinguished Suit;High;unknown;x
18026;Head of Military Intelligence;Red Shadow;NA;LWR;Undistinguished Suit;High;unknown;x
18027;Chief of Staff;Athanarios Klaras;NA;LWR;Undistinguished Suit;High;unknown;x
18028;Chief of Army;Athanarios Klaras;NA;LWR;Undistinguished Suit;High;unknown;x
