GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
46001;Head of State;Black Shadow;NA;PA;NA;NA;unknown;x
46002;Head of Government;Black Shadow;NA;PA;NA;NA;unknown;x
46003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
46010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
46011;Head of State;Blue Shadow;NA;LC CE RS;NA;NA;unknown;x
46012;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
46013;Foreign Minister;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
46014;Minister of Armament;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
46015;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
46016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
46017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
46018;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
46019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
46020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
46021;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
46022;Head of Government;Red Shadow;NA;LE;NA;NA;unknown;x
46023;Foreign Minister;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
46024;Minister of Armament;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
46025;Minister of Security;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
46026;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
46027;Chief of Staff;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
46028;Chief of Army;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
46029;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
46030;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
