HAI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
78001;Head of State;Black Shadow;NA;PA;NA;NA;unknown;x
78002;Head of Government;Black Shadow;NA;PA;NA;NA;unknown;x
78003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
78010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
78011;Head of State;Blue Shadow;NA;LC CE RS;NA;NA;unknown;x
78012;Head of Government;Blue Shadow;NA;RS;NA;NA;unknown;x
78013;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
78014;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
78015;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
78016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
78017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
78018;Chief of Army;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
78019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
78020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
78021;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
78022;Head of Government;Red Shadow;NA;LWR;NA;NA;unknown;x
78023;Foreign Minister;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78024;Minister of Armament;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78025;Minister of Security;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78026;Head of Military Intelligence;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78027;Chief of Staff;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78028;Chief of Army;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78029;Chief of Navy;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
78030;Chief of Air Force;Red Shadow;NA;LWR;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
