HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79001;Head of State;Black Shadow;NA;PA;NA;NA;unknown;x
79002;Head of Government;Black Shadow;NA;PA;NA;NA;unknown;x
79003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
79010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
79011;Head of State;Blue Shadow;NA;LC CE RS;NA;NA;unknown;x
79012;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
79013;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
79014;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
79015;Minister of Security;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
79016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
79017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
79018;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
79019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
79020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
79021;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
79022;Head of Government;Red Shadow;NA;LE;NA;NA;unknown;x
79023;Foreign Minister;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
79024;Minister of Armament;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
79025;Minister of Security;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
79026;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
79027;Chief of Staff;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
79028;Chief of Army;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
79029;Chief of Navy;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
79030;Chief of Air Force;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
