IND;Shadow Democrat Cabinet;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
59001;Head of State;Rajendra Prasad  ;NA;PA, LC, CE,RS, LWR, LE;NA;NA;unknown;x
59002;Head of Government;Rajendra Prasad  ;NA;CE;NA;NA;unknown;x
59003;Foreign Minister;Netaji Subhas Chandra Bose ;NA;LWR;Cloak and Dagger Schemer;High;unknown;x
59004;Minister of Armament;Bhulabhai Desai ;NA;LWR;Resource Industrialist;Very High;unknown;x
59005;Minister of Security;Rafi Ahmed Kidwai;NA;LWR;Crime Fighter;Medium;unknown;x
59006;Head of Military Intelligence;Jagjivan Ram;NA;PA;Political Specialist;Very High;unknown;x
59007;Chief of Staff;Sardar Baldev Singh ;NA;PA;School of Psychology;Medium;unknown;x
59008;Chief of Army;K. M. Carlappa ;NA;CE;Elastic Defense Doctrine;High;unknown;x
59009;Chief of Navy;Ram Dass Katari ;NA;CE;Power Projection Doctrine;Very High;unknown;x
59010;Chief of Air Force;Asghar Khan;NA;RS;Vertical Envelopment Doctrine ;High;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
59011;Head of State;Netaji Subhas Chandra Bose;NA;FA,PA, LC, CE,RS, LWR;NA;NA;unknown;x
59012;Head of Government;Netaji Subhas Chandra Bose ;NA;LWR;NA;NA;unknown;x
59003;Foreign Minister;Netaji Subhas Chandra Bose ;NA;LWR;Cloak and Dagger Schemer;Low;unknown;x
59013;Minister of Armament;Iskander Mirza ;NA;FA;Infantry Proponent ;Medium;unknown;x
59014;Minister of Security;Abid Hasan Safrani;NA;PA;Back Stabber ;Medium;unknown;x
59015;Head of Military Intelligence;Rashbehari Basu ;NA;FA;Logistics Specialist;Very High;unknown;x
59016;Chief of Staff;Shah Nawaz Khan ;NA;FA;School of Psychology ;Very High;unknown;x
59017;Chief of Army;Bhonsle;NA;FA;Elastic Defense Doctrine;High;unknown;x
59009;Chief of Navy;Ram Dass Katari ;NA;CE;Power Projection Doctrine;Very High;unknown;x
59010;Chief of Air Force;Asghar Khan;NA;RS;Vertical Envelopment Doctrine ;High;unknown;x
;Shadow Communist Cabinet;;;;;;;x
59018;Head of State;Jyoti Basu;NA;CE, RS, LWR, LE, ST;NA;NA;unknown;x
59019;Head of Government;Maneck Homi;NA;LE;NA;NA;unknown;x
59020;Foreign Minister;Ajoy Ghosh ;NA;ST;Great Compromiser;Medium;unknown;x
59021;Minister of Armament;Lal Bahadur Shastri;NA;LE;Administrative Genius;High;unknown;x
59022;Minister of Security;Bhimrao Ramji Ambedkar;NA;LE;Man of the People;Very High;unknown;x
59023;Head of Military Intelligence;Sir Chhotu Ram ;NA;LE;Industrial Specialist;High;unknown;x
59024;Chief of Staff;Netaji Subhas Chandra Bose ;NA;LWR;School of Psychology ;Medium;unknown;x
59025;Chief of Army;Mohan Singh;NA;LWR;Decisive Battle Doctrine;Very Low;unknown;x
59009;Chief of Navy;Ram Dass Katari ;NA;CE;Power Projection Doctrine;Very High;unknown;x
59010;Chief of Air Force;Asghar Khan;NA;RS;Vertical Envelopment Doctrine ;High;unknown;x
;;;;;;;;x
;Replacements;Name;Pool;;Personality;;;x
59011;Head of State;Netaji Subhas Chandra Bose ;37;FA,PA, LC, CE,RS, LWR, LE, ST;NA;NA;unknown;x
59026;Head of State;Panditji Jawahar Lal Nehru ;39;PA, LC, CE,RS, LWR, LE, ST;NA;NA;unknown;x
59027;Head of State;Sardar Vallabhbhai Patel ;37;FA,PA, LC, CE,RS, LWR;NA;NA;unknown;x
59028;Head of State;Mahatma Mohandas Karamchand Gandhi;41;LC, CE,RS, LWR, LE;NA;NA;unknown;x
59029;Head of State;Quaid-i-Azam Mohammad Ali Jinnah ;41;FA,PA, LC, CE,RS;NA;NA;unknown;x
59030;Head of State;Rashbehari Basu;43;FA, PA, CE;NA;NA;unknown;x
59018;Head of State;Jyoti Basu;37;CE, RS, LWR, LE, ST;NA;NA;unknown;x
59012;Head of Government;Netaji Subhas Chandra Bose ;37;LWR;NA;NA;unknown;x
59031;Head of Government;Panditji Jawahar Lal Nehru ;37;RS;NA;NA;unknown;x
59032;Head of Government;Sardar Vallabhbhai Patel ;37;LC;NA;NA;unknown;x
59033;Head of Government;Lal Bahadur Shastri;46;LE;NA;NA;unknown;x
59034;Head of Government;Quaid-i-Azam Mohammad Ali Jinnah ;43;PA;NA;NA;unknown;x
59035;Head of Government;Nawabzada Liaquat Ali Khan;43;FA;NA;NA;unknown;x
59036;Head of Government;Iskander Mirza ;47;FA;NA;NA;unknown;x
59037;Head of Government;Sarat Chandra Bose;40;CE;NA;NA;unknown;x
59019;Head of Government;Maneck Homi;37;LE;NA;NA;unknown;x
59038;Head of Government;Jyoti Basu;37;ST;NA;NA;unknown;x
59039;Foreign Minister;Panditji Jawahar Lal Nehru ;37;RS;Ideological Crusader;high;unknown;x
59040;Foreign Minister;Bhimrao Ramji Ambedkar;37;LE;Biased Intellectual;Low;unknown;x
59041;Foreign Minister;Quaid-i-Azam Mohammad Ali Jinnah ;37;PA;Ideological Crusader;Very High;unknown;x
59042;Foreign Minister;Agha Khan III;37;PA;Great Compromiser;Medium;unknown;x
59043;Foreign Minister;Nawabzada Liaquat Ali Khan;37;FA;Apologetic Clerk;High;unknown;x
59044;Foreign Minister;Sarat Chandra Bose;37;CE;Great Compromiser;Very High;unknown;x
59045;Foreign Minister;Maneck Homi;37;LE;Ideological Crusader;High;unknown;x
59046;Foreign Minister;Sir Gopalaswami Ayyangar;37;LC;General Staffer ;Low;unknown;x
59047;Foreign Minister;Abid Hasan Safrani;42;FA;Dismal Enigma;high;unknown;x
59020;Foreign Minister;Ajoy Ghosh ;37;ST;Great Compromiser;Medium;unknown;x
59048;Minister of Armament;Shyama Prasad Mookerjee ;37;FA;Military Entrepreneur;Very Low;unknown;x
59021;Minister of Armament;Lal Bahadur Shastri;37;LE;Administrative Genius;Low;unknown;x
59049;Minister of Armament;John Matthai;37;LE;Resource Industrialist;Medium;unknown;x
59050;Minister of Armament;Quaid-i-Azam Mohammad Ali Jinnah ;37;PA;Laissez-Faires Capitalist ;high;unknown;x
59013;Minister of Armament;Iskander Mirza ;37; FA;Infantry Proponent ;Very High;unknown;x
59051;Minister of Armament;Sir Chhotu Ram ;37;LE;Infantry Proponent ;High;unknown;x
