NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
14001;Head of State;Haakon VII;NA;LC CE RS;NA;NA;haakon_VII3_nor;x
14002;Head of Government;Johan Nygaardsvold;NA;RS;NA;NA;nygaardsvold_johan_nor;x
14003;Foreign Minister;Halvdan Koht;NA;RS;Biased Intellectual;Medium;unknown;x
14004;Minister of Armament;Adolf Indrebø;NA;RS;Undistinguished Suit;Medium;unknown;x
14005;Minister of Security;Trygve H. Lie;NA;RS;Compassionate Gentleman;Medium;lie_trygve_nor;x
14006;Head of Military Intelligence;Unknown;NA;LC;Undistinguished Suit;Medium;unknown;x
14007;Chief of Staff;Otto Ruge;NA;LC;School of Defence;High;ruge_otto_nor;x
14008;Chief of Army;Kristian K. Laake;NA;LC;Guns and Butter Doctrine;Medium;unknown;x
14009;Chief of Navy;Henry Diesen;NA;LC;Undistinguished Suit;Medium;unknown;x
14010;Chief of Air Force;Unknown;NA;LC;Undistinguished Suit;Medium;unknown;x
;A Cabinet - 1936;ELECT_A;;;;;;x
14002;Head of Government;Johan Nygaardsvold;NA;RS;NA;NA;nygaardsvold_johan_nor;x
14003;Foreign Minister;Halvdan Koht;NA;RS;Biased Intellectual;Medium;unknown;x
14004;Minister of Armament;Adolf Indrebø;NA;RS;Undistinguished Suit;Medium;unknown;x
14005;Minister of Security;Trygve H. Lie;NA;RS;Compassionate Gentleman;Medium;lie_trygve_nor;x
;B Cabinet - 1936;ELECT_B;;;;;;x
14065;Head of Government;C.J. Hambro;NA;LC;NA;NA;unknown;x
14066;Foreign Minister;J. L. Mowinckel;NA;CE;Ideological Crusader;Very High;unknown;x
14067;Minister of Armament;Gunnar Jahn;NA;CE;Laissez Faires Capitalist;High;unknown;x
14068;Minister of Security;Ole Ludvig Bærøe;NA;LC;Man of the People;Medium;unknown;x
;A Cabinet - 1940;ELECT_A;;;;;;x
14002;Head of Government;Johan Nygaardsvold;NA;RS;NA;NA;nygaardsvold_johan_nor;x
14003;Foreign Minister;Halvdan Koht;NA;RS;Biased Intellectual;Medium;unknown;x
