PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
53001;Head of State;Reza Pahlavi;NA;PA LC;NA;NA;reza_pahlavi_per;x
53002;Head of Government;Reza Pahlavi;NA;PA;NA;NA;reza_pahlavi_per;x
53003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
53001;Head of State;Reza Pahlavi;NA;PA LC;NA;NA;reza_pahlavi_per;x
53011;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
53012;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
53013;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
53014;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
53015;Head of Military Intelligence;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53016;Chief of Staff;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53017;Chief of Army;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53018;Chief of Navy;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
53019;Chief of Air Force;Blue Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
53020;Head of State;Red Shadow;NA;LWR LE ST;NA;NA;unknown;x
53021;Head of Government;Red Shadow;NA;ST;NA;NA;unknown;x
53022;Foreign Minister;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53023;Minister of Armament;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53024;Minister of Security;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53025;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53026;Chief of Staff;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53027;Chief of Army;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53028;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
53029;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
