POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
13001;Head of State;Ignacy Moscicki;NA;PA LC CE;NA;NA;moscicki_ignacy2_pol;x
13002;Head of Government;Marian Zyndram-Koscialkowski;NA;CE;NA;NA;unknown;x
13003;Foreign Minister;Jozef Beck;NA;PA;General Staffer;High;beck_jozef_pol;x
13004;Minister of Armament;Tadeusz Kasprzycki;NA;PA;Military Entrepeneur;Medium;kasprzycki_tadeusz_pol;x
13081;Minister of Security;Wladyslaw Raczkiewicz;NA;PA;Crime Fighter;Medium;raczkiewicz_w_pol;x
13006;Head of Military Intelligence;Edward Rydz-Smigly;NA;PA;Logistics Specialist;High;smigly-rydz_edward2_pol;x
13007;Chief of Staff;Edward Rydz-Smigly;NA;PA;School of Defense;High;smigly-rydz_edward2_pol;x
13008;Chief of Army;Edward Rydz-Smigly;NA;PA;Decisive battle doctrine;High;smigly-rydz_edward2_pol;x
13009;Chief of Navy;J. Swirski;NA;PA;Open Seas Doctrine;Medium;swirski_jerzy_pol;x
13010;Chief of Air Force;Jozef Zajac;NA;PA;Air Superiority Doctrine;Medium;zajac_jozef_pol;x
;A Cabinet - 1936;ELECT_B;;;;;;x
13046;Head of Government;Felicjan Slawnoj-Skladkowski;NA;PA LC CE;NA;NA;unknown;x
13003;Foreign Minister;Jozef Beck;NA;PA;General Staffer;High;beck_jozef_pol.jpg;x
13055;Minister of Armament;Eugeniusz Kwiatkowski;NA;CE;Administrative Genius;Very High;kwiatkowski_eugeniusz_pol;x
13080;Minister of Security;Witold Grabowski;NA;PA;Crime Fighter;Medium;unknown;x
;B Cabinet - 1936;ELECT_A;;;;;;x
13011;Head of Government;Wojciech Korfanty;NA;RS;NA;NA;unknown;x
13012;Foreign Minister;Wladyslaw Sikorski;NA;RS;General Staffer;High;sikorski_wladyslaw_pol;x
13013;Minister of Armament;Jozef Haller;NA;RS;Military Entrepreneur;Medium;unknown;x
13014;Minister of Security;Karol Popiel;NA;RS;Silent Lawyer;High;Popiel_Karol_pol;x
;A Cabinet - 1940;ELECT_B;;;;;;x
13046;Head of Government;Felicjan Slawnoj-Skladkowski;NA;PA;NA;NA;unknown;x
13003;Foreign Minister;Jozef Beck;NA;PA;General Staffer;High;beck_jozef_pol.jpg;x
13004;Minister of Armament;Tadeusz Kasprzycki;NA;PA;Military Entrepeneur;Medium;kasprzycki_tadeusz_pol;x
13081;Minister of Security;Wladyslaw Raczkiewicz;NA;PA;Crime Fighter;Medium;raczkiewicz_w_pol;x
;B Cabinet - 1940;ELECT_A;;;;;;x
13015;Head of Government;Stanislaw Osiecki;NA;RS;NA;NA;unknown;x
13016;Foreign Minister;Jan Piekalkiewicz;NA;RS;Biased Intellectual;Medium;Piekalkiewicz_Jan_pol;x
13017;Minister of Armament;Jozef Niecko;NA;RS;Resource Industrialist;Medium;unknown;x
13018;Minister of Security;Stanislaw Mikolajczyk;NA;RS;Man of the People;Medium;mikolajczyk_stanislav_pol ;x
;A Cabinet - 1944;ELECT_B;;;;;;x
13046;Head of Government;Felicjan Slawnoj-Skladkowski;NA;PA;NA;NA;unknown;x
13003;Foreign Minister;Jozef Beck;NA;PA;General Staffer;High;beck_jozef_pol;x
13004;Minister of Armament;Tadeusz Kasprzycki;NA;PA;Military Entrepeneur;Medium;kasprzycki_tadeusz_pol;x
13081;Minister of Security;Wladyslaw Raczkiewicz;NA;PA;Crime Fighter;Medium;raczkiewicz_w_pol;x
;B Cabinet - 1944;ELECT_A;;;;;;x
13019;Head of Government;Mieczyslaw Michalowicz;NA;RS;NA;NA;Michalowicz_Mieczyslaw_pol;x
13020;Foreign Minister;Wincenty Rzymowski;NA;RS;Biased Intellectual;Medium;unknown;x
13021;Minister of Armament;Jerzy Makowiecki;NA;RS;Resource Industrialist;High;unknown;x
13022;Minister of Security;Leon Chajn;NA;RS;Man of the People;Medium;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
13023;Head of State;Boleslaw Piasecki;NA;FA PA CE;NA;NA;Piasecki_Boleslaw_pol;x
13024;Head of Government;Wojciech Saryusz Zaleski;NA;PA;NA;NA;unknown;x
13025;Foreign Minister;Stanislaw Strzetelski;NA;PA;Apologetic Clerk;Low;unknown;x
