ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
22001;Head of State;Carol II;NA;LC CE PA FA NS ;NA;NA;carol_II3_rom;x
22002;Head of Government;Gheorghe Tatarescu;NA;LC;NA;NA;unknown;x
22003;Foreign Minister;Nicholas Titulescu;NA;LC;Great Compromiser;Medium;unknown;x
22004;Minister of Armament;Constantin Bratianu;NA;LC;Resource Industrialist;High;unknown;x
22005;Minister of Security;Istrate Micescu;NA;LC;Silent Lawyer;Medium;unknown;x
22006;Head of Military Intelligence;Mihail Moruzov;NA;LC;Logistics Specialist;Very High;unknown;x
22007;Chief of Staff;Ion Antonescu;NA;FA;School of Psychology;High;unknown;x
22008;Chief of Army;Ion Sichitiu;NA;PA;Static Defence Doctrine;Low;unknown;x
22009;Chief of Navy;Radu Irimescu;NA;LC;Decisive Battle Doctrine;Low;unknown;x
22010;Chief of Air Force;Nicolae Caranfil;NA;LC;Air Superiority Doctrine;Medium;unknown;x
;A Cabinet – 1936;ELECT_B;;;;;;x
22011;Head of Government;Octavian Goga;NA;PA;NA;NA;unknown;x
22012;Foreign Minister;Octavian Goga;NA;PA;Undistinguished Suit;Medium;unknown;x
22013;Minister of Armament;Alexander Cuza;NA;PA;Undistinguished Suit;Medium;unknown;x
22014;Minister of Security;Alexander Cuza;NA;PA;Prince of Terror;Medium;unknown;x
;B Cabinet – 1936;ELECT_A;;;;;;x
22015;Head of Government;Iuliu Maniu;NA;CE;NA;NA;maniu_julius_rom;x
22016;Foreign Minister;Grigore Niculescu-Buzesti;NA;CE;Biased Intellectual;Medium;unknown;x
22017;Minister of Armament;Virgil Madgearu;NA;CE;Administrative Genius;Medium;unknown;x
22018;Minister of Security;Armand Calinescu;NA;CE;Prince of Terror;High;unknown;x
;A Cabinet - 1940;ELECT_A;;;;;;x
22015;Head of Government;Iuliu Maniu;NA;CE;NA;NA;maniu_julius_rom;x
22016;Foreign Minister;Grigore Niculescu-Buzesti;NA;CE;Biased Intellectual;Medium;unknown;x
22017;Minister of Armament;Virgil Madgearu;NA;CE;Administrative Genius;Medium;unknown;x
22019;Minister of Security;Ion Mihalache;NA;CE;Man of the People;Low;unknown;x
;B Cabinet - 1940;ELECT_B;;;;;;x
22020;Head of Government;Constantin Bratianu;NA;LC;NA;NA;unknown;x
22021;Foreign Minister;Victor Antonescu;NA;LC;Ideological Crusader;Medium;antonescu_victor_rom;x
22004;Minister of Armament;Constantin Bratianu;NA;LC;Resource Industrialist;High;unknown;x
22005;Minister of Security;Istrate Micescu;NA;LC;Silent Lawyer;Medium;unknown;x
;A Cabinet - 1944;ELECT_A;;;;;;x
22015;Head of Government;Iuliu Maniu;NA;CE;NA;NA;maniu_julius_rom;x
22016;Foreign Minister;Grigore Niculescu-Buzesti;NA;CE;Biased Intellectual;Medium;unknown;x
22022;Minister of Armament;Nicolae Lupu;NA;CE;Resource Industrialist;Low;unknown;x
22019;Minister of Security;Ion Mihalache;NA;CE;Man of the People;Low;unknown;x
;B Cabinet – 1944;ELECT_B;;;;;;x
22020;Head of Government;Constantin Bratianu;NA;LC;NA;NA;unknown;x
22021;Foreign Minister;Victor Antonescu;NA;LC;Ideological Crusader;Medium;antonescu_victor_rom;x
22004;Minister of Armament;Constantin Bratianu;NA;LC;Resource Industrialist;High;unknown;x
