SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
62001;Head of State;Black Shadow;NA;PA LC CE;NA;NA;unknown;x
62002;Head of Government;Black Shadow;NA;PA;NA;NA;unknown;x
62003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
62010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
62011;Head of State;Blue Shadow;NA;PA LC CE;NA;NA;unknown;x
62012;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
62013;Foreign Minister;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62014;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62015;Minister of Security;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62018;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
62020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
62021;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
62022;Head of Government;Red Shadow;NA;ST;NA;NA;unknown;x
62023;Foreign Minister;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62024;Minister of Armament;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62025;Minister of Security;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62026;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62027;Chief of Staff;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62028;Chief of Army;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62029;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
62030;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
