SIB;Shadow Fascist Cabinet;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
68001;Head of State;Black Shadow;NA;PA FA;NA;NA;unknown;x
68002;Head of Government;Black Shadow;NA;PA;NA;NA;unknown;x
68003;Foreign Minister;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68004;Minister of Armament;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68005;Minister of Security;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68006;Head of Military Intelligence;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68007;Chief of Staff;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68008;Chief of Army;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68009;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
68010;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;Medium;unknown;x
;Shadow Democratic Cabinet;;;;;;;x
68011;Head of State;Blue Shadow;NA;LC CE RS;NA;NA;unknown;x
68012;Head of Government;Blue Shadow;NA;LC;NA;NA;unknown;x
68013;Foreign Minister;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
68014;Minister of Armament;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
68015;Minister of Security;Blue Shadow;NA;CE;Undistinguished Suit;Medium;unknown;x
68016;Head of Military Intelligence;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
68017;Chief of Staff;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
68018;Chief of Army;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
68019;Chief of Navy;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
68020;Chief of Air Force;Blue Shadow;NA;LC;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
68021;Head of State;Red Shadow;NA;ST LE LWR;NA;NA;unknown;x
68022;Head of Government;Red Shadow;NA;ST;NA;NA;unknown;x
68023;Foreign Minister;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68024;Minister of Armament;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68025;Minister of Security;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68026;Head of Military Intelligence;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68027;Chief of Staff;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68028;Chief of Army;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68029;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
68030;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
