SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
4001;Head of State;Mikhail Kalinin;NA;ST LE;NA;NA;unknown;x
4002;Head of Government;Josef V. Stalin;NA;ST;NA;NA;stalin_josef_sov;x
4003;Foreign Minister;Maksim Litvinov;NA;ST;Ideological Crusader;Medium;litvinov_maksim_sov;x
4004;Minister of Armament;Lazer Kaganovich;NA;ST;Resource Industrialist;High;kaganovich_lazer_sov;x
4005;Minister of Security;Genrikh Yagoda;NA;ST;Back Stabber;Low;unknown;x
4006;Head of Military Intelligence;Yan Berzin;NA;ST;Technical Specialist;Medium;unknown;x
4007;Chief of Staff;Michail N. Tuchatjevskij;NA;LE;School of Manoeuvre;Low;unknown;x
4008;Chief of Army;Kliment Y. Voroshilov;NA;ST;Guns and Butter Doctrine;Very High;voroshilov_kliment_sov;x
4009;Chief of Navy;I.S. Isakov;NA;LE;Base Control Doctrine;Low;unknown;x
4010;Chief of Air Force;A.E. Golovanov;NA;LE;Army Aviation Doctrine;High;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
4011;Head of State;Andrei Vlasov;NA;PA FA NS;NA;NA;vlasov_andrej_sov;x
4012;Head of Government;Gregori Zhilenkov;NA;PA;NA;NA;zhilenkov_gregori_sov;x
4013;Foreign Minister;Fyodor Bogatyrchuk;NA;PA;Great Compromiser;Low;bogatyrchuk_fyodor_sov;x
4014;Minister of Armament;Anton Scheglov;NA;PA;Military Entrepreneur;Medium;scheglov_anton_sov;x
4015;Minister of Security;Vladimir Malyshkin;NA;PA;Back Stabber;Very High;malyshkin_vladimir_sov;x
4016;Head of Military Intelligence;Mikhail Meandrov;NA;PA;Dismal Enigma;Very High;meandrov_mikhail_sov;x
4017;Chief of Staff;Fyodor Trikhin;NA;PA;School of Mass Combat;High;trikhin_fyodor_sov;x
4018;Chief of Army;Vitaly Maltsev;NA;PA;Decisive Battle Doctrine;Very High;maltsev_vitaly_sov;x
4019;Chief of Navy;Black Shadow;NA;PA;Undistinguished Suit;High;unknown;x
4020;Chief of Air Force;Black Shadow;NA;PA;Undistinguished Suit;High;unknown;x
;Shadow CE Cabinet;;;;;;;x
4021;Head of State;A. Kerensky;NA;RS CE LC PA;NA;NA;unknown;x
4022;Head of Government;A. Kerensky;NA;CE;NA;NA;unknown;x
