SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
10001;Head of State;Miguel Cabanellas Ferrer;NA;CE LC PA FA;NA;NA;unknown;x
10002;Head of Government;Fidel Dávila Arrondo;NA;FA;NA;NA;unknown;x
10003;Foreign Minister;Fernando Serrat y Bonastre;NA;FA;Ideological Crusader;High;unknown;x
10004;Minister of Armament;Gérman Gil y Yuste;NA;FA;Undistinguished Suit;High;unknown;x
10005;Minister of Security;Miguel Ponte Mansó de Zúñiga;NA;LC;Crime Fighter;High;unknown;x
10006;Head of Military Intelligence;Black Shadow;NA;FA;Undistinguished Suit;High;unknown;x
10007;Chief of Staff;Fidel Dávila Arrondo;NA;PA;School of Psychology;High;unknown;x
10008;Chief of Army;Emilio Mola;NA;FA;Decisive Battle Doctrine;Very High;unknown;x
10009;Chief of Navy;Fransisco Moreno Fernández;NA;FA;Open Seas Doctrine;High;unknown;x
10010;Chief of Air Force;Alfredo Kindelán Duany;NA;PA;Carpet Bombing Doctrine;High;unknown;x
;Shadow LC Cabinet;;;;;;;x
10011;Head of State;Juan III;NA;LC PA;NA;NA;unknown;x
10012;Head of Government;José María Gil-Robles Quiñones;NA;LC;NA;NA;unknown;x
10013;Foreign Minister;Juan Beigbéder Atienza;NA;PA;Apologetic Clerk;Medium;unknown;x
10014;Minister of Armament;José Enrique Varela Iglesias;NA;PA;Military Entrepeneur;Medium;unknown;x
10015;Minister of Security;Andrés Saliquet Zumeta;NA;PA;Man of the People;Medium;unknown;x
10016;Head of Military Intelligence;Royal Shadow;NA;PA;Undistinguished Suit;High;unknown;x
10017;Chief of Staff;Luís Orgaz Yoldi;NA;PA;School of Defense;Medium;unknown;x
10018;Chief of Army;Antonio Aranda Mata;NA;PA;Static Defense Doctrine;Low;unknown;x
10019;Chief of Navy;Antonio Royo Villanova;NA;PA;Open Seas Doctrine;High;unknown;x
10020;Chief of Air Force;Alfredo Kindelán Duany ;NA;PA;Carpet Bombing Doctrine;High;unknown;x
;Shadow RS Cabinet;;;;;;;x
10041;Head of State;Álvaro de Albornoz Liminiana;NA;CE RS LWR;NA;NA;unknown;x
10042;Head of Government;Juan Negrín López;NA;LWR;NA;NA;unknown;x
10043;Foreign Minister;José Giral Pereira;NA;LWR;Biased Intellectual;High;unknown;x
