USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
6001;Head of State;Franklin D. Roosevelt;NA;RS CE LWR LC;NA;NA;roosevelt_franklin_usa;x
6001;Head of Government;Franklin D. Roosevelt;NA;CE;NA;NA;roosevelt_franklin_usa;x
6002;Foreign Minister;Cordell Hull;NA;CE;Great Compromiser;High;hull_cordell2_usa;x
6003;Minister of Armament;Henry Morgenthau;NA;RS;Resource Industrialist;High;Henry_Morgenthau_usa;x
6004;Minister of Security;Homer S. Cummings;NA;RS;Silent Lawyer;Very High;Homer_S_Cummings_usa;x
6005;Head of Military Intelligence;Vacant;NA;LC;Undistinguished Suit;Very High;unknown;x
6006;Chief of Staff;Malin Craig;NA;CE;School of Defense;High;Malin_Craig_usa;x
6007;Chief of Army;Malin Craig;NA;CE;Guns and Butter Doctrine;High;Malin_Craig_usa;x
6008;Chief of Navy;William Standley;NA;CE;Base Control Doctrine;High;unknown;x
6009;Chief of Air Force;Oscar Westover;NA;LC;Army Aviation Doctrine;High;Oscar_Westover_usa;x
;Shadow Communist Cabinet;;;;;;;x
6010;Head of State;Norman Thomas;NA;LWR RS LE ST;NA;NA;thomas_norman_usa;x
6011;Head of Government;Norman Thomas;NA;LWR;NA;NA;thomas_norman_usa;x
6012;Foreign Minister;Gus Tyler;NA;LE;Undistinguished Suit;High;unknown;x
6013;Minister of Armament;Harry C. Laidler;NA;LWR;Resource Industrialist;Very High;unknown;x
6014;Minister of Security;Daniel Hoan;NA;RS;Man of the People;Medium;Daniel_Hoan_usa;x
;Replacements;;;;;;;x
6015;Head of State;John Nance Garner;40;CE RS LC;NA;NA;John_Nance_Garner_usa;x
6016;Head of Government;John Nance Garner;40;CE;NA;NA;John_Nance_Garner_usa;x
6017;Head of State;James Farley;40;CE;NA;NA;James_Farley_usa;x
6018;Head of Government;James Farley;40;CE;NA;NA;James_Farley_usa;x
6019;Head of State;Harry Byrd;44;CE;NA;NA;Harry_Byrd_usa;x
6020;Head of Government;Harry Byrd;44;CE;NA;NA;Harry_Byrd_usa;x
